;OTIMIZADOR;MODELO;SEED;Reservoirs;Sparsity;Spectral Radius;Fitness
1800;PSO;ESN;9000;387.0;0.329;0.263;0.402
1801;PSO;ESN;9000;387.0;0.329;0.263;0.402
1802;PSO;ESN;9000;387.0;0.329;0.263;0.402
1803;PSO;ESN;9000;387.0;0.329;0.263;0.402
1804;PSO;ESN;9000;387.0;0.329;0.263;0.402
1805;PSO;ESN;9000;387.0;0.329;0.263;0.402
1806;PSO;ESN;9000;387.0;0.329;0.263;0.402
1807;PSO;ESN;9000;387.0;0.329;0.263;0.402
1808;PSO;ESN;9000;387.0;0.329;0.263;0.402
1809;PSO;ESN;9000;387.0;0.329;0.263;0.402
1810;PSO;ESN;9000;387.0;0.329;0.263;0.402
1811;PSO;ESN;9000;387.0;0.329;0.263;0.402
1812;PSO;ESN;9000;387.0;0.329;0.263;0.402
1813;PSO;ESN;9000;387.0;0.329;0.263;0.402
1814;PSO;ESN;9000;387.0;0.329;0.263;0.402
1815;PSO;ESN;9000;370.0;0.149;0.653;0.402
1816;PSO;ESN;9000;370.0;0.149;0.653;0.402
1817;PSO;ESN;9000;370.0;0.149;0.653;0.402
1818;PSO;ESN;9000;370.0;0.149;0.653;0.402
1819;PSO;ESN;9000;370.0;0.149;0.653;0.402
1820;PSO;ESN;9000;370.0;0.149;0.653;0.402
1821;PSO;ESN;9000;370.0;0.149;0.653;0.402
1822;PSO;ESN;9000;370.0;0.149;0.653;0.402
1823;PSO;ESN;9000;370.0;0.149;0.653;0.402
1824;PSO;ESN;9000;370.0;0.149;0.653;0.402
1825;PSO;ESN;9000;370.0;0.149;0.653;0.402
1826;PSO;ESN;9000;370.0;0.149;0.653;0.402
1827;PSO;ESN;9000;370.0;0.149;0.653;0.402
1828;PSO;ESN;9000;370.0;0.149;0.653;0.402
1829;PSO;ESN;9000;370.0;0.149;0.653;0.402
1830;PSO;ESN;9000;370.0;0.149;0.653;0.402
1831;PSO;ESN;9000;370.0;0.149;0.653;0.402
1832;PSO;ESN;9000;370.0;0.149;0.653;0.402
1833;PSO;ESN;9000;370.0;0.149;0.653;0.402
1834;PSO;ESN;9000;370.0;0.149;0.653;0.402
1835;PSO;ESN;9000;370.0;0.149;0.653;0.402
1836;PSO;ESN;9000;370.0;0.149;0.653;0.402
1837;PSO;ESN;9000;370.0;0.149;0.653;0.402
1838;PSO;ESN;9000;370.0;0.149;0.653;0.402
1839;PSO;ESN;9000;370.0;0.149;0.653;0.402
1840;PSO;ESN;9000;370.0;0.149;0.653;0.402
1841;PSO;ESN;9000;370.0;0.149;0.653;0.402
1842;PSO;ESN;9000;370.0;0.149;0.653;0.402
1843;PSO;ESN;9000;370.0;0.149;0.653;0.402
1844;PSO;ESN;9000;370.0;0.149;0.653;0.402
1845;PSO;ESN;9000;29.0;0.208;0.646;0.376
1846;PSO;ESN;9000;29.0;0.208;0.646;0.376
1847;PSO;ESN;9000;29.0;0.208;0.646;0.376
1848;PSO;ESN;9000;29.0;0.208;0.646;0.376
1849;PSO;ESN;9000;29.0;0.208;0.646;0.376
1850;PSO;ESN;9000;29.0;0.208;0.646;0.376
1851;PSO;ESN;9000;29.0;0.208;0.646;0.376
1852;PSO;ESN;9000;29.0;0.208;0.646;0.376
1853;PSO;ESN;9000;29.0;0.208;0.646;0.376
1854;PSO;ESN;9000;29.0;0.208;0.646;0.376
1855;PSO;ESN;9000;29.0;0.208;0.646;0.376
1856;PSO;ESN;9000;29.0;0.208;0.646;0.376
1857;PSO;ESN;9000;29.0;0.208;0.646;0.376
1858;PSO;ESN;9000;29.0;0.208;0.646;0.376
1859;PSO;ESN;9000;29.0;0.208;0.646;0.376
1860;PSO;ESN;9000;29.0;0.208;0.646;0.376
1861;PSO;ESN;9000;29.0;0.208;0.646;0.376
1862;PSO;ESN;9000;29.0;0.208;0.646;0.376
1863;PSO;ESN;9000;29.0;0.208;0.646;0.376
1864;PSO;ESN;9000;29.0;0.208;0.646;0.376
1865;PSO;ESN;9000;29.0;0.208;0.646;0.376
1866;PSO;ESN;9000;29.0;0.208;0.646;0.376
1867;PSO;ESN;9000;29.0;0.208;0.646;0.376
1868;PSO;ESN;9000;29.0;0.208;0.646;0.376
1869;PSO;ESN;9000;29.0;0.208;0.646;0.376
1870;PSO;ESN;9000;29.0;0.208;0.646;0.376
1871;PSO;ESN;9000;29.0;0.208;0.646;0.376
1872;PSO;ESN;9000;29.0;0.208;0.646;0.376
1873;PSO;ESN;9000;29.0;0.208;0.646;0.376
1874;PSO;ESN;9000;29.0;0.208;0.646;0.376
1875;PSO;ESN;9000;29.0;0.208;0.646;0.376
1876;PSO;ESN;9000;29.0;0.208;0.646;0.376
1877;PSO;ESN;9000;29.0;0.208;0.646;0.376
1878;PSO;ESN;9000;29.0;0.208;0.646;0.376
1879;PSO;ESN;9000;29.0;0.208;0.646;0.376
