;OTIMIZADOR;MODELO;SEED;Hidden Layers;Alpha;Activation;Fitness
2034;SA;MLP;10000;305;0.97;tanh;0.287
2035;SA;MLP;10000;305;0.97;tanh;0.287
2036;SA;MLP;10000;305;0.97;tanh;0.287
2037;SA;MLP;10000;305;0.97;tanh;0.287
2038;SA;MLP;10000;305;0.97;tanh;0.287
2039;SA;MLP;10000;202;0.05;logistic;0.271
2040;SA;MLP;10000;202;0.05;logistic;0.271
2041;SA;MLP;10000;202;0.05;logistic;0.271
2042;SA;MLP;10000;202;0.05;logistic;0.271
2043;SA;MLP;10000;361;0.11;logistic;0.259
2044;SA;MLP;10000;361;0.11;logistic;0.259
2045;SA;MLP;10000;361;0.11;logistic;0.259
2046;SA;MLP;10000;361;0.11;logistic;0.259
2047;SA;MLP;10000;361;0.11;logistic;0.259
2048;SA;MLP;10000;230;0.78;identity;0.232
2049;SA;MLP;10000;230;0.78;identity;0.232
2050;SA;MLP;10000;230;0.78;identity;0.232
2051;SA;MLP;10000;230;0.78;identity;0.232
2052;SA;MLP;10000;230;0.78;identity;0.232
2053;SA;MLP;10000;230;0.78;identity;0.232
2054;SA;MLP;10000;230;0.78;identity;0.232
2055;SA;MLP;10000;230;0.78;identity;0.232
2056;SA;MLP;10000;230;0.78;identity;0.232
2057;SA;MLP;10000;230;0.78;identity;0.232
2058;SA;MLP;10000;230;0.78;identity;0.232
2059;SA;MLP;10000;230;0.78;identity;0.232
2060;SA;MLP;10000;230;0.78;identity;0.232
2061;SA;MLP;10000;230;0.78;identity;0.232
2062;SA;MLP;10000;230;0.78;identity;0.232
2063;SA;MLP;10000;230;0.78;identity;0.232
2064;SA;MLP;10000;230;0.78;identity;0.232
2065;SA;MLP;10000;230;0.78;identity;0.232
2066;SA;MLP;10000;230;0.78;identity;0.232
2067;SA;MLP;10000;230;0.78;identity;0.232
2068;SA;MLP;10000;230;0.78;identity;0.232
2069;SA;MLP;10000;230;0.78;identity;0.232
2070;SA;MLP;10000;230;0.78;identity;0.232
2071;SA;MLP;10000;230;0.78;identity;0.232
2072;SA;MLP;10000;230;0.78;identity;0.232
2073;SA;MLP;10000;230;0.78;identity;0.232
2074;SA;MLP;10000;230;0.78;identity;0.232
2075;SA;MLP;10000;230;0.78;identity;0.232
2076;SA;MLP;10000;230;0.78;identity;0.232
2077;SA;MLP;10000;230;0.78;identity;0.232
