;OTIMIZADOR;MODELO;SEED;N_estimators;Max_depth;Booster;Lambda;Alpha;Fitness
1808;SA;XGBoost;9000;186;181;gbtree;0.69;0.185;0.304
1809;SA;XGBoost;9000;231;246;gbtree;0.58;0.46;0.298
1810;SA;XGBoost;9000;231;246;gbtree;0.58;0.46;0.298
1811;SA;XGBoost;9000;231;246;gbtree;0.58;0.46;0.298
1812;SA;XGBoost;9000;231;246;gbtree;0.58;0.46;0.298
1813;SA;XGBoost;9000;231;246;gbtree;0.58;0.46;0.298
1814;SA;XGBoost;9000;231;246;gbtree;0.58;0.46;0.298
1815;SA;XGBoost;9000;231;246;gbtree;0.58;0.46;0.298
1816;SA;XGBoost;9000;72;221;gbtree;0.285;0.51;0.297
1817;SA;XGBoost;9000;72;221;gbtree;0.285;0.51;0.297
1818;SA;XGBoost;9000;72;221;gbtree;0.285;0.51;0.297
1819;SA;XGBoost;9000;72;221;gbtree;0.285;0.51;0.297
1820;SA;XGBoost;9000;72;221;gbtree;0.285;0.51;0.297
1821;SA;XGBoost;9000;72;221;gbtree;0.285;0.51;0.297
1822;SA;XGBoost;9000;72;221;gbtree;0.285;0.51;0.297
1823;SA;XGBoost;9000;72;221;gbtree;0.285;0.51;0.297
1824;SA;XGBoost;9000;72;221;gbtree;0.285;0.51;0.297
1825;SA;XGBoost;9000;72;221;gbtree;0.285;0.51;0.297
1826;SA;XGBoost;9000;72;221;gbtree;0.285;0.51;0.297
1827;SA;XGBoost;9000;72;221;gbtree;0.285;0.51;0.297
1828;SA;XGBoost;9000;232;356;gbtree;0.53;0.94;0.292
1829;SA;XGBoost;9000;232;356;gbtree;0.53;0.94;0.292
1830;SA;XGBoost;9000;232;356;gbtree;0.53;0.94;0.292
1831;SA;XGBoost;9000;232;356;gbtree;0.53;0.94;0.292
1832;SA;XGBoost;9000;232;356;gbtree;0.53;0.94;0.292
1833;SA;XGBoost;9000;232;356;gbtree;0.53;0.94;0.292
1834;SA;XGBoost;9000;232;356;gbtree;0.53;0.94;0.292
1835;SA;XGBoost;9000;232;356;gbtree;0.53;0.94;0.292
1836;SA;XGBoost;9000;232;356;gbtree;0.53;0.94;0.292
1837;SA;XGBoost;9000;232;356;gbtree;0.53;0.94;0.292
1838;SA;XGBoost;9000;232;356;gbtree;0.53;0.94;0.292
1839;SA;XGBoost;9000;232;356;gbtree;0.53;0.94;0.292
1840;SA;XGBoost;9000;232;356;gbtree;0.53;0.94;0.292
1841;SA;XGBoost;9000;232;356;gbtree;0.53;0.94;0.292
1842;SA;XGBoost;9000;232;356;gbtree;0.53;0.94;0.292
1843;SA;XGBoost;9000;232;356;gbtree;0.53;0.94;0.292
1844;SA;XGBoost;9000;232;356;gbtree;0.53;0.94;0.292
1845;SA;XGBoost;9000;232;356;gbtree;0.53;0.94;0.292
1846;SA;XGBoost;9000;232;356;gbtree;0.53;0.94;0.292
1847;SA;XGBoost;9000;232;356;gbtree;0.53;0.94;0.292
1848;SA;XGBoost;9000;232;356;gbtree;0.53;0.94;0.292
1849;SA;XGBoost;9000;232;356;gbtree;0.53;0.94;0.292
1850;SA;XGBoost;9000;232;356;gbtree;0.53;0.94;0.292
1851;SA;XGBoost;9000;232;356;gbtree;0.53;0.94;0.292
1852;SA;XGBoost;9000;232;356;gbtree;0.53;0.94;0.292
