;OTIMIZADOR;MODELO;SEED;Strong_predictor;Weight_g;Fitness
900;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.455;0.301
901;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.828;0.298
902;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.828;0.298
903;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.828;0.298
904;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.828;0.298
905;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.88;0.298
906;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.88;0.298
907;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.918;0.298
908;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.918;0.298
909;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.918;0.298
910;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.918;0.298
911;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.918;0.298
912;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.918;0.298
913;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.918;0.298
914;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.918;0.298
915;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.918;0.298
916;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.918;0.298
917;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.949;0.298
918;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.949;0.298
919;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.949;0.298
920;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.949;0.298
921;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.949;0.298
922;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.949;0.298
923;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.949;0.298
924;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.949;0.298
925;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.949;0.298
926;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.949;0.298
927;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.949;0.298
928;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.949;0.298
929;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.949;0.298
930;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.949;0.298
931;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.949;0.298
932;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.949;0.298
933;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.949;0.298
934;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.949;0.298
935;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.949;0.298
936;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.949;0.298
937;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.956;0.298
938;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.956;0.298
939;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.956;0.298
940;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.956;0.298
941;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.956;0.298
942;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.956;0.298
943;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.956;0.298
944;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.956;0.298
945;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.956;0.298
946;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.956;0.298
947;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.956;0.298
948;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.956;0.298
949;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.956;0.298
950;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.956;0.298
951;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.956;0.298
952;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.956;0.298
953;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.982;0.297
954;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.982;0.297
955;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.982;0.297
956;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.982;0.297
957;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.982;0.297
958;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.982;0.297
959;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.982;0.297
960;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.982;0.297
961;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.982;0.297
962;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.982;0.297
963;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.982;0.297
964;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.982;0.297
965;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.982;0.297
966;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.982;0.297
967;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.982;0.297
968;COA;WSB-GLOBAL-BARRACÃO;10000;ESN;-0.982;0.297
