;OTIMIZADOR;MODELO;SEED;Strong_predictor;Weight_g;Fitness
900;COA;WSB-GLOBAL-CAMPO LARGO;10000;ESN;-0.455;0.335
901;COA;WSB-GLOBAL-CAMPO LARGO;10000;ESN;-0.828;0.325
902;COA;WSB-GLOBAL-CAMPO LARGO;10000;ESN;-0.828;0.325
903;COA;WSB-GLOBAL-CAMPO LARGO;10000;ESN;-0.828;0.325
904;COA;WSB-GLOBAL-CAMPO LARGO;10000;ESN;-0.828;0.325
905;COA;WSB-GLOBAL-CAMPO LARGO;10000;ESN;-0.88;0.324
906;COA;WSB-GLOBAL-CAMPO LARGO;10000;ESN;-0.88;0.324
907;COA;WSB-GLOBAL-CAMPO LARGO;10000;ESN;-0.918;0.323
908;COA;WSB-GLOBAL-CAMPO LARGO;10000;ESN;-0.918;0.323
909;COA;WSB-GLOBAL-CAMPO LARGO;10000;ESN;-0.918;0.323
910;COA;WSB-GLOBAL-CAMPO LARGO;10000;ESN;-0.918;0.323
911;COA;WSB-GLOBAL-CAMPO LARGO;10000;ESN;-0.918;0.323
912;COA;WSB-GLOBAL-CAMPO LARGO;10000;ESN;-0.918;0.323
913;COA;WSB-GLOBAL-CAMPO LARGO;10000;ESN;-0.918;0.323
914;COA;WSB-GLOBAL-CAMPO LARGO;10000;ESN;-0.918;0.323
915;COA;WSB-GLOBAL-CAMPO LARGO;10000;ESN;-0.918;0.323
916;COA;WSB-GLOBAL-CAMPO LARGO;10000;ESN;-0.918;0.323
917;COA;WSB-GLOBAL-CAMPO LARGO;10000;ESN;-0.949;0.322
918;COA;WSB-GLOBAL-CAMPO LARGO;10000;ESN;-0.949;0.322
919;COA;WSB-GLOBAL-CAMPO LARGO;10000;ESN;-0.949;0.322
920;COA;WSB-GLOBAL-CAMPO LARGO;10000;ESN;-0.949;0.322
921;COA;WSB-GLOBAL-CAMPO LARGO;10000;ESN;-0.949;0.322
922;COA;WSB-GLOBAL-CAMPO LARGO;10000;ESN;-0.949;0.322
923;COA;WSB-GLOBAL-CAMPO LARGO;10000;ESN;-0.949;0.322
924;COA;WSB-GLOBAL-CAMPO LARGO;10000;ESN;-0.949;0.322
925;COA;WSB-GLOBAL-CAMPO LARGO;10000;ESN;-0.949;0.322
926;COA;WSB-GLOBAL-CAMPO LARGO;10000;ESN;-0.949;0.322
927;COA;WSB-GLOBAL-CAMPO LARGO;10000;ESN;-0.949;0.322
928;COA;WSB-GLOBAL-CAMPO LARGO;10000;ESN;-0.949;0.322
929;COA;WSB-GLOBAL-CAMPO LARGO;10000;ESN;-0.949;0.322
930;COA;WSB-GLOBAL-CAMPO LARGO;10000;ESN;-0.949;0.322
931;COA;WSB-GLOBAL-CAMPO LARGO;10000;ESN;-0.949;0.322
932;COA;WSB-GLOBAL-CAMPO LARGO;10000;ESN;-0.949;0.322
933;COA;WSB-GLOBAL-CAMPO LARGO;10000;ESN;-0.949;0.322
934;COA;WSB-GLOBAL-CAMPO LARGO;10000;ESN;-0.949;0.322
935;COA;WSB-GLOBAL-CAMPO LARGO;10000;ESN;-0.949;0.322
