;OTIMIZADOR;MODELO;SEED;Strong_predictor;Weight_g;Fitness
900;COA;WSB-GLOBAL-CAPANEMA;10000;ESN;-0.455;0.26
901;COA;WSB-GLOBAL-CAPANEMA;10000;ESN;-0.455;0.26
902;COA;WSB-GLOBAL-CAPANEMA;10000;ESN;-0.148;0.256
903;COA;WSB-GLOBAL-CAPANEMA;10000;ESN;-0.148;0.256
904;COA;WSB-GLOBAL-CAPANEMA;10000;ESN;-0.148;0.256
905;COA;WSB-GLOBAL-CAPANEMA;10000;ESN;-0.148;0.256
906;COA;WSB-GLOBAL-CAPANEMA;10000;ESN;-0.148;0.256
907;COA;WSB-GLOBAL-CAPANEMA;10000;ESN;-0.148;0.256
908;COA;WSB-GLOBAL-CAPANEMA;10000;ESN;-0.008;0.255
909;COA;WSB-GLOBAL-CAPANEMA;10000;ESN;-0.008;0.255
910;COA;WSB-GLOBAL-CAPANEMA;10000;ESN;-0.008;0.255
911;COA;WSB-GLOBAL-CAPANEMA;10000;ESN;-0.008;0.255
912;COA;WSB-GLOBAL-CAPANEMA;10000;ESN;-0.008;0.255
913;COA;WSB-GLOBAL-CAPANEMA;10000;ESN;-0.008;0.255
914;COA;WSB-GLOBAL-CAPANEMA;10000;ESN;-0.008;0.255
915;COA;WSB-GLOBAL-CAPANEMA;10000;ESN;-0.008;0.255
916;COA;WSB-GLOBAL-CAPANEMA;10000;ESN;-0.008;0.255
917;COA;WSB-GLOBAL-CAPANEMA;10000;ESN;-0.008;0.255
918;COA;WSB-GLOBAL-CAPANEMA;10000;ESN;-0.008;0.255
919;COA;WSB-GLOBAL-CAPANEMA;10000;ESN;-0.008;0.255
920;COA;WSB-GLOBAL-CAPANEMA;10000;ESN;-0.008;0.255
921;COA;WSB-GLOBAL-CAPANEMA;10000;ESN;-0.008;0.255
922;COA;WSB-GLOBAL-CAPANEMA;10000;ESN;-0.008;0.255
923;COA;WSB-GLOBAL-CAPANEMA;10000;ESN;-0.008;0.255
924;COA;WSB-GLOBAL-CAPANEMA;10000;ESN;-0.008;0.255
925;COA;WSB-GLOBAL-CAPANEMA;10000;ESN;-0.003;0.255
926;COA;WSB-GLOBAL-CAPANEMA;10000;ESN;-0.003;0.255
927;COA;WSB-GLOBAL-CAPANEMA;10000;ESN;-0.003;0.255
928;COA;WSB-GLOBAL-CAPANEMA;10000;ESN;-0.003;0.255
929;COA;WSB-GLOBAL-CAPANEMA;10000;ESN;-0.003;0.255
930;COA;WSB-GLOBAL-CAPANEMA;10000;ESN;-0.003;0.255
931;COA;WSB-GLOBAL-CAPANEMA;10000;ESN;-0.003;0.255
932;COA;WSB-GLOBAL-CAPANEMA;10000;ESN;-0.003;0.255
933;COA;WSB-GLOBAL-CAPANEMA;10000;ESN;-0.003;0.255
934;COA;WSB-GLOBAL-CAPANEMA;10000;ESN;-0.003;0.255
935;COA;WSB-GLOBAL-CAPANEMA;10000;ESN;-0.003;0.255
936;COA;WSB-GLOBAL-CAPANEMA;10000;ESN;-0.003;0.255
937;COA;WSB-GLOBAL-CAPANEMA;10000;ESN;-0.003;0.255
938;COA;WSB-GLOBAL-CAPANEMA;10000;ESN;-0.003;0.255
