;OTIMIZADOR;MODELO;SEED;Strong_predictor;Weight_g;Fitness
0;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.347;0.272
1;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.885;0.27
2;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.885;0.27
3;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.885;0.27
4;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.885;0.27
5;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.885;0.27
6;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.96;0.27
7;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.96;0.27
8;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.96;0.27
9;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.96;0.27
10;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.96;0.27
11;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.96;0.27
12;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.96;0.27
13;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.96;0.27
14;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.96;0.27
15;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.96;0.27
16;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.96;0.27
17;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.96;0.27
18;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.96;0.27
19;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.96;0.27
20;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.971;0.27
21;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.971;0.27
22;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.971;0.27
23;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.971;0.27
24;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.971;0.27
25;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.971;0.27
26;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.971;0.27
27;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.971;0.27
28;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.971;0.27
29;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.971;0.27
30;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.971;0.27
31;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.971;0.27
32;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
33;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
34;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
35;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
36;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
37;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
38;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
39;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
40;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
41;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
42;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
43;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
44;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
45;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
46;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
47;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
48;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
49;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
50;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
51;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
52;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
53;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
54;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
55;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
56;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
57;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
58;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
59;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
60;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
61;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
62;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
63;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
64;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
65;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
66;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
67;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
68;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
69;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
70;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
71;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
72;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
73;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
74;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
75;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
76;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
77;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
78;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
79;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
80;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
81;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
82;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
83;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
84;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
85;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
86;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
87;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
88;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
89;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
90;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
91;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
92;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
93;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
94;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
95;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
96;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
97;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
98;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
99;COA;WSB-GLOBAL-CASCAVEL;1000;ESN;-0.99;0.27
