;OTIMIZADOR;MODELO;SEED;Strong_predictor;Weight_g;Fitness
0;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.347;0.236
1;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.885;0.234
2;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.885;0.234
3;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.885;0.234
4;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.885;0.234
5;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.885;0.234
6;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.96;0.234
7;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.96;0.234
8;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.96;0.234
9;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.96;0.234
10;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.96;0.234
11;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.96;0.234
12;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.96;0.234
13;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.96;0.234
14;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.96;0.234
15;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.96;0.234
16;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.96;0.234
17;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.96;0.234
18;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.96;0.234
19;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.96;0.234
20;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.971;0.234
21;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.971;0.234
22;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.971;0.234
23;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.971;0.234
24;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.971;0.234
25;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.971;0.234
26;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.971;0.234
27;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.971;0.234
28;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.971;0.234
29;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.971;0.234
30;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.971;0.234
31;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.971;0.234
32;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
33;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
34;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
35;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
36;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
37;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
38;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
39;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
40;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
41;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
42;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
43;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
44;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
45;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
46;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
47;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
48;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
49;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
50;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
51;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
52;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
53;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
54;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
55;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
56;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
57;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
58;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
59;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
60;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
61;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
62;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
63;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
64;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
65;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
66;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
67;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
68;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
69;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
70;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
71;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
72;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
73;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
74;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
75;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
76;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
77;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
78;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
79;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
80;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
81;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
82;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
83;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
84;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
85;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
86;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
87;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
88;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
89;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
90;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
91;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
92;COA;WSB-GLOBAL-CORONEL VIVIDA;1000;ESN;-0.99;0.234
