;OTIMIZADOR;MODELO;SEED;Strong_predictor;Weight_g;Fitness
0;COA;WSB-GLOBAL-FOZ DO IGUAÇU;1000;ESN;-0.347;0.327
1;COA;WSB-GLOBAL-FOZ DO IGUAÇU;1000;ESN;-0.885;0.317
2;COA;WSB-GLOBAL-FOZ DO IGUAÇU;1000;ESN;-0.885;0.317
3;COA;WSB-GLOBAL-FOZ DO IGUAÇU;1000;ESN;-0.885;0.317
4;COA;WSB-GLOBAL-FOZ DO IGUAÇU;1000;ESN;-0.885;0.317
5;COA;WSB-GLOBAL-FOZ DO IGUAÇU;1000;ESN;-0.885;0.317
6;COA;WSB-GLOBAL-FOZ DO IGUAÇU;1000;ESN;-0.96;0.316
7;COA;WSB-GLOBAL-FOZ DO IGUAÇU;1000;ESN;-0.96;0.316
8;COA;WSB-GLOBAL-FOZ DO IGUAÇU;1000;ESN;-0.96;0.316
9;COA;WSB-GLOBAL-FOZ DO IGUAÇU;1000;ESN;-0.96;0.316
10;COA;WSB-GLOBAL-FOZ DO IGUAÇU;1000;ESN;-0.96;0.316
11;COA;WSB-GLOBAL-FOZ DO IGUAÇU;1000;ESN;-0.96;0.316
12;COA;WSB-GLOBAL-FOZ DO IGUAÇU;1000;ESN;-0.96;0.316
13;COA;WSB-GLOBAL-FOZ DO IGUAÇU;1000;ESN;-0.96;0.316
14;COA;WSB-GLOBAL-FOZ DO IGUAÇU;1000;ESN;-0.96;0.316
15;COA;WSB-GLOBAL-FOZ DO IGUAÇU;1000;ESN;-0.96;0.316
16;COA;WSB-GLOBAL-FOZ DO IGUAÇU;1000;ESN;-0.96;0.316
17;COA;WSB-GLOBAL-FOZ DO IGUAÇU;1000;ESN;-0.96;0.316
18;COA;WSB-GLOBAL-FOZ DO IGUAÇU;1000;ESN;-0.96;0.316
19;COA;WSB-GLOBAL-FOZ DO IGUAÇU;1000;ESN;-0.96;0.316
20;COA;WSB-GLOBAL-FOZ DO IGUAÇU;1000;ESN;-0.971;0.316
