;OTIMIZADOR;MODELO;SEED;Strong_predictor;Weight_g;Fitness
0;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.347;0.275
1;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.347;0.275
2;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.347;0.275
3;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.518;0.275
4;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.518;0.275
5;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.518;0.275
6;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.518;0.275
7;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.518;0.275
8;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.518;0.275
9;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.518;0.275
10;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.518;0.275
11;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.518;0.275
12;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.518;0.275
13;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.518;0.275
14;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.518;0.275
15;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.518;0.275
16;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.518;0.275
17;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.518;0.275
18;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.518;0.275
19;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.518;0.275
20;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.518;0.275
21;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.518;0.275
22;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.518;0.275
23;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.518;0.275
24;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.518;0.275
25;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.518;0.275
26;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.518;0.275
27;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.518;0.275
28;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.518;0.275
29;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.518;0.275
30;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.518;0.275
31;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.518;0.275
32;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.518;0.275
33;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.518;0.275
34;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.518;0.275
35;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.518;0.275
36;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.518;0.275
37;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.518;0.275
38;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.518;0.275
39;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.518;0.275
40;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.518;0.275
41;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.518;0.275
42;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.518;0.275
43;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
44;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
45;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
46;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
47;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
48;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
49;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
50;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
51;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
52;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
53;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
54;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
55;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
56;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
57;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
58;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
59;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
60;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
61;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
62;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
63;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
64;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
65;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
66;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
67;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
68;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
69;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
70;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
71;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
72;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
73;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
74;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
75;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
76;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
77;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
78;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
79;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
80;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
81;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
82;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
83;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
84;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
85;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
86;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
87;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
88;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
89;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
90;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
91;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
92;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
93;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
94;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
95;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
96;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
97;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
98;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
99;COA;WSB-GLOBAL-GOIOERÊ;1000;ESN;-0.531;0.275
