;OTIMIZADOR;MODELO;SEED;Strong_predictor;Weight_g;Fitness
900;COA;WSB-GLOBAL-IRATI;10000;ESN;-0.455;0.246
901;COA;WSB-GLOBAL-IRATI;10000;ESN;-0.828;0.232
902;COA;WSB-GLOBAL-IRATI;10000;ESN;-0.828;0.232
903;COA;WSB-GLOBAL-IRATI;10000;ESN;-0.828;0.232
904;COA;WSB-GLOBAL-IRATI;10000;ESN;-0.828;0.232
905;COA;WSB-GLOBAL-IRATI;10000;ESN;-0.88;0.231
906;COA;WSB-GLOBAL-IRATI;10000;ESN;-0.88;0.231
907;COA;WSB-GLOBAL-IRATI;10000;ESN;-0.918;0.23
908;COA;WSB-GLOBAL-IRATI;10000;ESN;-0.918;0.23
909;COA;WSB-GLOBAL-IRATI;10000;ESN;-0.918;0.23
910;COA;WSB-GLOBAL-IRATI;10000;ESN;-0.918;0.23
911;COA;WSB-GLOBAL-IRATI;10000;ESN;-0.918;0.23
912;COA;WSB-GLOBAL-IRATI;10000;ESN;-0.918;0.23
913;COA;WSB-GLOBAL-IRATI;10000;ESN;-0.918;0.23
914;COA;WSB-GLOBAL-IRATI;10000;ESN;-0.918;0.23
915;COA;WSB-GLOBAL-IRATI;10000;ESN;-0.918;0.23
916;COA;WSB-GLOBAL-IRATI;10000;ESN;-0.918;0.23
917;COA;WSB-GLOBAL-IRATI;10000;ESN;-0.949;0.229
918;COA;WSB-GLOBAL-IRATI;10000;ESN;-0.949;0.229
919;COA;WSB-GLOBAL-IRATI;10000;ESN;-0.949;0.229
920;COA;WSB-GLOBAL-IRATI;10000;ESN;-0.949;0.229
921;COA;WSB-GLOBAL-IRATI;10000;ESN;-0.949;0.229
922;COA;WSB-GLOBAL-IRATI;10000;ESN;-0.949;0.229
923;COA;WSB-GLOBAL-IRATI;10000;ESN;-0.949;0.229
924;COA;WSB-GLOBAL-IRATI;10000;ESN;-0.949;0.229
925;COA;WSB-GLOBAL-IRATI;10000;ESN;-0.949;0.229
926;COA;WSB-GLOBAL-IRATI;10000;ESN;-0.949;0.229
927;COA;WSB-GLOBAL-IRATI;10000;ESN;-0.949;0.229
928;COA;WSB-GLOBAL-IRATI;10000;ESN;-0.949;0.229
929;COA;WSB-GLOBAL-IRATI;10000;ESN;-0.949;0.229
930;COA;WSB-GLOBAL-IRATI;10000;ESN;-0.949;0.229
931;COA;WSB-GLOBAL-IRATI;10000;ESN;-0.949;0.229
932;COA;WSB-GLOBAL-IRATI;10000;ESN;-0.949;0.229
933;COA;WSB-GLOBAL-IRATI;10000;ESN;-0.949;0.229
934;COA;WSB-GLOBAL-IRATI;10000;ESN;-0.949;0.229
935;COA;WSB-GLOBAL-IRATI;10000;ESN;-0.949;0.229
936;COA;WSB-GLOBAL-IRATI;10000;ESN;-0.949;0.229
937;COA;WSB-GLOBAL-IRATI;10000;ESN;-0.956;0.229
938;COA;WSB-GLOBAL-IRATI;10000;ESN;-0.956;0.229
939;COA;WSB-GLOBAL-IRATI;10000;ESN;-0.956;0.229
940;COA;WSB-GLOBAL-IRATI;10000;ESN;-0.956;0.229
941;COA;WSB-GLOBAL-IRATI;10000;ESN;-0.956;0.229
942;COA;WSB-GLOBAL-IRATI;10000;ESN;-0.956;0.229
943;COA;WSB-GLOBAL-IRATI;10000;ESN;-0.956;0.229
