;OTIMIZADOR;MODELO;SEED;Strong_predictor;Weight_g;Fitness
0;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.347;0.296
1;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.885;0.291
2;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.885;0.291
3;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.885;0.291
4;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.885;0.291
5;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.885;0.291
6;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.96;0.291
7;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.96;0.291
8;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.96;0.291
9;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.96;0.291
10;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.96;0.291
11;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.96;0.291
12;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.96;0.291
13;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.96;0.291
14;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.96;0.291
15;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.96;0.291
16;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.96;0.291
17;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.96;0.291
18;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.96;0.291
19;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.96;0.291
20;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.971;0.291
21;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.971;0.291
22;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.971;0.291
23;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.971;0.291
24;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.971;0.291
25;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.971;0.291
26;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.971;0.291
27;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.971;0.291
28;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.971;0.291
29;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.971;0.291
30;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.971;0.291
31;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.971;0.291
32;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.99;0.291
33;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.99;0.291
34;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.99;0.291
35;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.99;0.291
36;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.99;0.291
37;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.99;0.291
38;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.99;0.291
39;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.99;0.291
40;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.99;0.291
41;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.99;0.291
42;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.99;0.291
43;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.99;0.291
44;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.99;0.291
45;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.99;0.291
46;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.99;0.291
47;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.99;0.291
48;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.99;0.291
49;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.99;0.291
50;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.99;0.291
51;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.99;0.291
52;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.99;0.291
53;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.99;0.291
54;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.99;0.291
55;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.99;0.291
56;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.99;0.291
57;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.99;0.291
58;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.99;0.291
59;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.99;0.291
60;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.99;0.291
61;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.99;0.291
62;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.99;0.291
63;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.99;0.291
64;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.99;0.291
65;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.99;0.291
66;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.99;0.291
67;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.99;0.291
68;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.99;0.291
69;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.99;0.291
70;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.99;0.291
71;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.99;0.291
72;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.99;0.291
73;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.99;0.291
74;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.99;0.291
75;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.99;0.291
76;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.99;0.291
77;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.99;0.291
78;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.99;0.291
79;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.99;0.291
80;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.99;0.291
81;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.99;0.291
82;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.99;0.291
83;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.99;0.291
84;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.99;0.291
85;COA;WSB-GLOBAL-JACAREZINHO;1000;ESN;-0.99;0.291
