;OTIMIZADOR;MODELO;SEED;Strong_predictor;Weight_g;Fitness
0;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.347;0.532
1;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.347;0.532
2;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.347;0.532
3;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.347;0.532
4;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.347;0.532
5;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.347;0.532
6;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.347;0.532
7;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.347;0.532
8;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.347;0.532
9;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.347;0.532
10;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.347;0.532
11;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.347;0.532
12;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.347;0.532
13;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.347;0.532
14;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.347;0.532
15;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.347;0.532
16;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.347;0.532
17;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.347;0.532
18;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.347;0.532
19;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.347;0.532
20;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.347;0.532
21;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.347;0.532
22;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.347;0.532
23;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.347;0.532
24;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.347;0.532
25;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.347;0.532
26;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.347;0.532
27;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.347;0.532
28;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.347;0.532
29;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.347;0.532
30;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.347;0.532
31;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.347;0.532
32;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.347;0.532
33;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.347;0.532
34;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.347;0.532
35;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.347;0.532
36;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.347;0.532
37;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.347;0.532
38;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.347;0.532
39;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.347;0.532
40;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.347;0.532
41;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.347;0.532
42;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.347;0.532
43;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.347;0.532
44;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.347;0.532
45;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.347;0.532
46;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.347;0.532
47;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.347;0.532
48;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.347;0.532
49;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.347;0.532
50;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.399;0.532
51;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.399;0.532
52;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.399;0.532
53;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.399;0.532
54;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.399;0.532
55;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.399;0.532
56;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.399;0.532
57;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.399;0.532
58;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.399;0.532
59;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.399;0.532
60;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.399;0.532
61;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.399;0.532
62;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.399;0.532
63;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.399;0.532
64;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.399;0.532
65;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.399;0.532
66;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.399;0.532
67;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.399;0.532
68;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.399;0.532
69;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.399;0.532
70;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.399;0.532
71;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.399;0.532
72;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.399;0.532
73;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.399;0.532
74;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.399;0.532
75;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.399;0.532
76;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.399;0.532
77;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.399;0.532
78;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.399;0.532
79;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.399;0.532
80;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.399;0.532
81;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.399;0.532
82;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.399;0.532
83;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.399;0.532
84;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.399;0.532
85;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.399;0.532
86;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.399;0.532
87;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.399;0.532
88;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.399;0.532
89;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.399;0.532
90;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.399;0.532
91;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.399;0.532
92;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.379;0.532
93;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.379;0.532
94;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.379;0.532
95;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.379;0.532
96;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.379;0.532
97;COA;WSB-GLOBAL-LONDRINA - CENTRO;1000;ESN;-0.379;0.532
