;OTIMIZADOR;MODELO;SEED;Strong_predictor;Weight_g;Fitness
900;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.455;0.424
901;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.455;0.424
902;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.148;0.423
903;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.148;0.423
904;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.148;0.423
905;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.148;0.423
906;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.148;0.423
907;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.148;0.423
908;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.008;0.422
909;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.008;0.422
910;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.008;0.422
911;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.008;0.422
912;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.008;0.422
913;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.008;0.422
914;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.008;0.422
915;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.008;0.422
916;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.008;0.422
917;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.008;0.422
918;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.008;0.422
919;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.008;0.422
920;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.008;0.422
921;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.008;0.422
922;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.008;0.422
923;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.008;0.422
924;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.008;0.422
925;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.003;0.422
926;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.003;0.422
927;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.003;0.422
928;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.003;0.422
929;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.003;0.422
930;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.003;0.422
931;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.003;0.422
932;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.003;0.422
933;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.003;0.422
934;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.003;0.422
935;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.003;0.422
936;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.003;0.422
937;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.003;0.422
938;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.003;0.422
939;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.003;0.422
940;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.003;0.422
941;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.003;0.422
942;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.003;0.422
943;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.003;0.422
944;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.003;0.422
945;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.003;0.422
946;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.003;0.422
947;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.003;0.422
948;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.003;0.422
949;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.003;0.422
950;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.003;0.422
951;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.003;0.422
952;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.003;0.422
953;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.003;0.422
954;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.003;0.422
955;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.003;0.422
956;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.003;0.422
957;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.003;0.422
958;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.003;0.422
959;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.003;0.422
960;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.003;0.422
961;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.003;0.422
962;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.003;0.422
963;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.003;0.422
964;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.003;0.422
965;COA;WSB-GLOBAL-PARANAVAÍ;10000;ESN;-0.003;0.422
