;OTIMIZADOR;MODELO;SEED;Strong_predictor;Weight_g;Fitness
200;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.49;0.22
201;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.49;0.22
202;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.49;0.22
203;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.675;0.215
204;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.675;0.215
205;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.675;0.215
206;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.675;0.215
207;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.848;0.211
208;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.848;0.211
209;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.848;0.211
210;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.848;0.211
211;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.848;0.211
212;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.897;0.21
213;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.897;0.21
214;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.928;0.21
215;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.928;0.21
216;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.928;0.21
217;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.928;0.21
218;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.928;0.21
219;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.928;0.21
220;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.928;0.21
221;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.928;0.21
222;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.928;0.21
223;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.928;0.21
224;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.928;0.21
225;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.928;0.21
226;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.928;0.21
227;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.928;0.21
228;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.928;0.21
229;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.928;0.21
230;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.928;0.21
231;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.928;0.21
232;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.928;0.21
233;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.928;0.21
234;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.928;0.21
235;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.928;0.21
236;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.928;0.21
237;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.928;0.21
238;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.928;0.21
239;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.928;0.21
240;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.928;0.21
241;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.928;0.21
242;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.928;0.21
243;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.928;0.21
244;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.928;0.21
245;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.928;0.21
246;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.928;0.21
247;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.928;0.21
248;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.928;0.21
249;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.928;0.21
250;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.928;0.21
251;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.928;0.21
252;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.98;0.209
253;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.98;0.209
254;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.98;0.209
255;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.98;0.209
256;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.98;0.209
257;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.98;0.209
258;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.98;0.209
259;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.98;0.209
260;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.98;0.209
261;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.98;0.209
262;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.98;0.209
263;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.98;0.209
264;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.98;0.209
265;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.98;0.209
266;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.98;0.209
267;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.98;0.209
268;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.98;0.209
269;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.98;0.209
270;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.98;0.209
271;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.98;0.209
272;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.98;0.209
273;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.98;0.209
274;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.98;0.209
275;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.98;0.209
276;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.98;0.209
277;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.98;0.209
278;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.98;0.209
279;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.993;0.209
280;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.993;0.209
281;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.993;0.209
282;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.993;0.209
283;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.993;0.209
284;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.993;0.209
285;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.993;0.209
286;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.993;0.209
287;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.993;0.209
288;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.993;0.209
289;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.993;0.209
290;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.993;0.209
291;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.993;0.209
292;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.993;0.209
293;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.993;0.209
294;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.993;0.209
295;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.993;0.209
296;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.993;0.209
297;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.993;0.209
298;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.993;0.209
299;COA;WSB-GLOBAL-PINHAIS;3000;ESN;-0.994;0.208
