;OTIMIZADOR;MODELO;SEED;Strong_predictor;Weight_g;Fitness
0;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.347;0.241
1;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.885;0.238
2;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.885;0.238
3;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.885;0.238
4;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.885;0.238
5;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.885;0.238
6;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.96;0.238
7;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.96;0.238
8;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.96;0.238
9;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.96;0.238
10;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.96;0.238
11;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.96;0.238
12;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.96;0.238
13;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.96;0.238
14;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.96;0.238
15;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.96;0.238
16;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.96;0.238
17;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.96;0.238
18;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.96;0.238
19;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.96;0.238
20;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.971;0.238
21;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.971;0.238
22;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.971;0.238
23;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.971;0.238
24;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.971;0.238
25;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.971;0.238
26;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.971;0.238
27;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.971;0.238
28;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.971;0.238
29;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.971;0.238
30;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.971;0.238
31;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.971;0.238
32;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
33;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
34;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
35;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
36;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
37;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
38;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
39;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
40;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
41;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
42;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
43;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
44;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
45;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
46;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
47;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
48;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
49;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
50;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
51;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
52;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
53;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
54;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
55;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
56;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
57;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
58;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
59;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
60;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
61;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
62;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
63;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
64;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
65;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
66;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
67;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
68;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
69;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
70;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
71;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
72;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
73;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
74;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
75;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
76;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
77;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
78;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
79;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
80;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
81;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
82;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
83;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
84;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
85;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
86;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
87;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
88;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
89;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
90;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
91;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
92;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
93;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
94;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
95;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
96;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
97;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
98;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
99;COA;WSB-GLOBAL-PITANGA;1000;ESN;-0.99;0.238
