;OTIMIZADOR;MODELO;SEED;Strong_predictor;Weight_g;Fitness
900;COA;WSB-GLOBAL-QUEDAS DO IGUAÇU;10000;ESN;-0.455;0.256
901;COA;WSB-GLOBAL-QUEDAS DO IGUAÇU;10000;ESN;-0.828;0.251
902;COA;WSB-GLOBAL-QUEDAS DO IGUAÇU;10000;ESN;-0.828;0.251
903;COA;WSB-GLOBAL-QUEDAS DO IGUAÇU;10000;ESN;-0.828;0.251
904;COA;WSB-GLOBAL-QUEDAS DO IGUAÇU;10000;ESN;-0.828;0.251
905;COA;WSB-GLOBAL-QUEDAS DO IGUAÇU;10000;ESN;-0.88;0.251
906;COA;WSB-GLOBAL-QUEDAS DO IGUAÇU;10000;ESN;-0.88;0.251
907;COA;WSB-GLOBAL-QUEDAS DO IGUAÇU;10000;ESN;-0.918;0.25
908;COA;WSB-GLOBAL-QUEDAS DO IGUAÇU;10000;ESN;-0.918;0.25
909;COA;WSB-GLOBAL-QUEDAS DO IGUAÇU;10000;ESN;-0.918;0.25
910;COA;WSB-GLOBAL-QUEDAS DO IGUAÇU;10000;ESN;-0.918;0.25
911;COA;WSB-GLOBAL-QUEDAS DO IGUAÇU;10000;ESN;-0.918;0.25
912;COA;WSB-GLOBAL-QUEDAS DO IGUAÇU;10000;ESN;-0.918;0.25
913;COA;WSB-GLOBAL-QUEDAS DO IGUAÇU;10000;ESN;-0.918;0.25
914;COA;WSB-GLOBAL-QUEDAS DO IGUAÇU;10000;ESN;-0.918;0.25
915;COA;WSB-GLOBAL-QUEDAS DO IGUAÇU;10000;ESN;-0.918;0.25
916;COA;WSB-GLOBAL-QUEDAS DO IGUAÇU;10000;ESN;-0.918;0.25
917;COA;WSB-GLOBAL-QUEDAS DO IGUAÇU;10000;ESN;-0.949;0.25
918;COA;WSB-GLOBAL-QUEDAS DO IGUAÇU;10000;ESN;-0.949;0.25
919;COA;WSB-GLOBAL-QUEDAS DO IGUAÇU;10000;ESN;-0.949;0.25
920;COA;WSB-GLOBAL-QUEDAS DO IGUAÇU;10000;ESN;-0.949;0.25
921;COA;WSB-GLOBAL-QUEDAS DO IGUAÇU;10000;ESN;-0.949;0.25
922;COA;WSB-GLOBAL-QUEDAS DO IGUAÇU;10000;ESN;-0.949;0.25
923;COA;WSB-GLOBAL-QUEDAS DO IGUAÇU;10000;ESN;-0.949;0.25
924;COA;WSB-GLOBAL-QUEDAS DO IGUAÇU;10000;ESN;-0.949;0.25
