;OTIMIZADOR;MODELO;SEED;Strong_predictor;Weight_g;Fitness
900;COA;WSB-GLOBAL-UMUARAMA;10000;ESN;-0.455;0.329
901;COA;WSB-GLOBAL-UMUARAMA;10000;ESN;-0.828;0.322
902;COA;WSB-GLOBAL-UMUARAMA;10000;ESN;-0.828;0.322
903;COA;WSB-GLOBAL-UMUARAMA;10000;ESN;-0.828;0.322
904;COA;WSB-GLOBAL-UMUARAMA;10000;ESN;-0.828;0.322
905;COA;WSB-GLOBAL-UMUARAMA;10000;ESN;-0.88;0.321
906;COA;WSB-GLOBAL-UMUARAMA;10000;ESN;-0.88;0.321
907;COA;WSB-GLOBAL-UMUARAMA;10000;ESN;-0.918;0.32
908;COA;WSB-GLOBAL-UMUARAMA;10000;ESN;-0.918;0.32
909;COA;WSB-GLOBAL-UMUARAMA;10000;ESN;-0.918;0.32
910;COA;WSB-GLOBAL-UMUARAMA;10000;ESN;-0.918;0.32
911;COA;WSB-GLOBAL-UMUARAMA;10000;ESN;-0.918;0.32
912;COA;WSB-GLOBAL-UMUARAMA;10000;ESN;-0.918;0.32
913;COA;WSB-GLOBAL-UMUARAMA;10000;ESN;-0.918;0.32
914;COA;WSB-GLOBAL-UMUARAMA;10000;ESN;-0.918;0.32
915;COA;WSB-GLOBAL-UMUARAMA;10000;ESN;-0.918;0.32
916;COA;WSB-GLOBAL-UMUARAMA;10000;ESN;-0.918;0.32
917;COA;WSB-GLOBAL-UMUARAMA;10000;ESN;-0.949;0.32
918;COA;WSB-GLOBAL-UMUARAMA;10000;ESN;-0.949;0.32
919;COA;WSB-GLOBAL-UMUARAMA;10000;ESN;-0.949;0.32
920;COA;WSB-GLOBAL-UMUARAMA;10000;ESN;-0.949;0.32
921;COA;WSB-GLOBAL-UMUARAMA;10000;ESN;-0.949;0.32
922;COA;WSB-GLOBAL-UMUARAMA;10000;ESN;-0.949;0.32
923;COA;WSB-GLOBAL-UMUARAMA;10000;ESN;-0.949;0.32
924;COA;WSB-GLOBAL-UMUARAMA;10000;ESN;-0.949;0.32
925;COA;WSB-GLOBAL-UMUARAMA;10000;ESN;-0.949;0.32
926;COA;WSB-GLOBAL-UMUARAMA;10000;ESN;-0.949;0.32
927;COA;WSB-GLOBAL-UMUARAMA;10000;ESN;-0.949;0.32
928;COA;WSB-GLOBAL-UMUARAMA;10000;ESN;-0.949;0.32
929;COA;WSB-GLOBAL-UMUARAMA;10000;ESN;-0.949;0.32
930;COA;WSB-GLOBAL-UMUARAMA;10000;ESN;-0.949;0.32
931;COA;WSB-GLOBAL-UMUARAMA;10000;ESN;-0.949;0.32
932;COA;WSB-GLOBAL-UMUARAMA;10000;ESN;-0.949;0.32
933;COA;WSB-GLOBAL-UMUARAMA;10000;ESN;-0.949;0.32
