;OTIMIZADOR;MODELO;SEED;Strong_predictor;Weight_g;Fitness
900;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.455;0.199
901;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.828;0.186
902;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.828;0.186
903;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.828;0.186
904;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.828;0.186
905;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.88;0.185
906;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.88;0.185
907;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.918;0.184
908;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.918;0.184
909;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.918;0.184
910;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.918;0.184
911;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.918;0.184
912;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.918;0.184
913;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.918;0.184
914;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.918;0.184
915;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.918;0.184
916;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.918;0.184
917;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.949;0.183
918;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.949;0.183
919;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.949;0.183
920;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.949;0.183
921;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.949;0.183
922;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.949;0.183
923;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.949;0.183
924;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.949;0.183
925;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.949;0.183
926;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.949;0.183
927;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.949;0.183
928;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.949;0.183
929;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.949;0.183
930;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.949;0.183
931;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.949;0.183
932;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.949;0.183
933;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.949;0.183
934;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.949;0.183
935;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.949;0.183
936;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.949;0.183
937;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.956;0.183
938;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.956;0.183
939;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.956;0.183
940;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.956;0.183
941;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.956;0.183
942;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.956;0.183
943;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.956;0.183
944;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.956;0.183
945;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.956;0.183
946;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.956;0.183
947;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.956;0.183
948;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.956;0.183
949;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.956;0.183
950;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.956;0.183
951;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.956;0.183
952;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.956;0.183
953;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.982;0.182
954;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.982;0.182
955;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.982;0.182
956;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.982;0.182
957;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.982;0.182
958;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.982;0.182
959;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.982;0.182
960;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.982;0.182
961;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.982;0.182
962;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.982;0.182
963;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.982;0.182
964;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.982;0.182
965;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.982;0.182
966;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.982;0.182
967;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.982;0.182
968;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.982;0.182
969;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.982;0.182
970;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.982;0.182
971;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.982;0.182
972;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.982;0.182
973;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.982;0.182
974;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.982;0.182
975;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.982;0.182
976;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.982;0.182
977;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.982;0.182
978;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.982;0.182
979;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.982;0.182
980;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.982;0.182
981;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.982;0.182
982;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.982;0.182
983;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.982;0.182
984;COA;WSB-GLOBAL-UNIÃO DA VITÓRIA;10000;ESN;-0.982;0.182
