;OTIMIZADOR;MODELO;SEED;Strong_predictor;Weight_g;Fitness
500;COA;WSB-LOCAL-ASSIS CHATEAUBRIAND;6000;XGBoost;-0.669;0.346
501;COA;WSB-LOCAL-ASSIS CHATEAUBRIAND;6000;XGBoost;-0.883;0.337
502;COA;WSB-LOCAL-ASSIS CHATEAUBRIAND;6000;XGBoost;-0.883;0.337
503;COA;WSB-LOCAL-ASSIS CHATEAUBRIAND;6000;XGBoost;-0.883;0.337
504;COA;WSB-LOCAL-ASSIS CHATEAUBRIAND;6000;XGBoost;-0.883;0.337
505;COA;WSB-LOCAL-ASSIS CHATEAUBRIAND;6000;XGBoost;-0.883;0.337
506;COA;WSB-LOCAL-ASSIS CHATEAUBRIAND;6000;XGBoost;-0.883;0.337
507;COA;WSB-LOCAL-ASSIS CHATEAUBRIAND;6000;XGBoost;-0.883;0.337
508;COA;WSB-LOCAL-ASSIS CHATEAUBRIAND;6000;XGBoost;-0.894;0.337
509;COA;WSB-LOCAL-ASSIS CHATEAUBRIAND;6000;XGBoost;-0.894;0.337
510;COA;WSB-LOCAL-ASSIS CHATEAUBRIAND;6000;XGBoost;-0.894;0.337
511;COA;WSB-LOCAL-ASSIS CHATEAUBRIAND;6000;XGBoost;-0.894;0.337
512;COA;WSB-LOCAL-ASSIS CHATEAUBRIAND;6000;XGBoost;-0.894;0.337
513;COA;WSB-LOCAL-ASSIS CHATEAUBRIAND;6000;XGBoost;-0.894;0.337
514;COA;WSB-LOCAL-ASSIS CHATEAUBRIAND;6000;XGBoost;-0.894;0.337
515;COA;WSB-LOCAL-ASSIS CHATEAUBRIAND;6000;XGBoost;-0.894;0.337
516;COA;WSB-LOCAL-ASSIS CHATEAUBRIAND;6000;XGBoost;-0.894;0.337
517;COA;WSB-LOCAL-ASSIS CHATEAUBRIAND;6000;XGBoost;-0.894;0.337
518;COA;WSB-LOCAL-ASSIS CHATEAUBRIAND;6000;XGBoost;-0.894;0.337
519;COA;WSB-LOCAL-ASSIS CHATEAUBRIAND;6000;XGBoost;-0.894;0.337
520;COA;WSB-LOCAL-ASSIS CHATEAUBRIAND;6000;XGBoost;-0.995;0.333
521;COA;WSB-LOCAL-ASSIS CHATEAUBRIAND;6000;XGBoost;-0.995;0.333
522;COA;WSB-LOCAL-ASSIS CHATEAUBRIAND;6000;XGBoost;-0.995;0.333
523;COA;WSB-LOCAL-ASSIS CHATEAUBRIAND;6000;XGBoost;-0.995;0.333
524;COA;WSB-LOCAL-ASSIS CHATEAUBRIAND;6000;XGBoost;-0.995;0.333
525;COA;WSB-LOCAL-ASSIS CHATEAUBRIAND;6000;XGBoost;-0.995;0.333
526;COA;WSB-LOCAL-ASSIS CHATEAUBRIAND;6000;XGBoost;-0.995;0.333
527;COA;WSB-LOCAL-ASSIS CHATEAUBRIAND;6000;XGBoost;-0.995;0.333
528;COA;WSB-LOCAL-ASSIS CHATEAUBRIAND;6000;XGBoost;-0.995;0.333
529;COA;WSB-LOCAL-ASSIS CHATEAUBRIAND;6000;XGBoost;-0.995;0.333
530;COA;WSB-LOCAL-ASSIS CHATEAUBRIAND;6000;XGBoost;-0.995;0.333
531;COA;WSB-LOCAL-ASSIS CHATEAUBRIAND;6000;XGBoost;-0.995;0.333
532;COA;WSB-LOCAL-ASSIS CHATEAUBRIAND;6000;XGBoost;-0.995;0.333
533;COA;WSB-LOCAL-ASSIS CHATEAUBRIAND;6000;XGBoost;-0.995;0.333
534;COA;WSB-LOCAL-ASSIS CHATEAUBRIAND;6000;XGBoost;-0.995;0.333
535;COA;WSB-LOCAL-ASSIS CHATEAUBRIAND;6000;XGBoost;-0.995;0.333
536;COA;WSB-LOCAL-ASSIS CHATEAUBRIAND;6000;XGBoost;-0.995;0.333
537;COA;WSB-LOCAL-ASSIS CHATEAUBRIAND;6000;XGBoost;-0.995;0.333
538;COA;WSB-LOCAL-ASSIS CHATEAUBRIAND;6000;XGBoost;-0.995;0.333
539;COA;WSB-LOCAL-ASSIS CHATEAUBRIAND;6000;XGBoost;-0.995;0.333
540;COA;WSB-LOCAL-ASSIS CHATEAUBRIAND;6000;XGBoost;-0.995;0.333
541;COA;WSB-LOCAL-ASSIS CHATEAUBRIAND;6000;XGBoost;-0.995;0.333
542;COA;WSB-LOCAL-ASSIS CHATEAUBRIAND;6000;XGBoost;-0.995;0.333
543;COA;WSB-LOCAL-ASSIS CHATEAUBRIAND;6000;XGBoost;-0.995;0.333
544;COA;WSB-LOCAL-ASSIS CHATEAUBRIAND;6000;XGBoost;-0.995;0.333
545;COA;WSB-LOCAL-ASSIS CHATEAUBRIAND;6000;XGBoost;-0.995;0.333
546;COA;WSB-LOCAL-ASSIS CHATEAUBRIAND;6000;XGBoost;-0.995;0.333
547;COA;WSB-LOCAL-ASSIS CHATEAUBRIAND;6000;XGBoost;-0.995;0.333
548;COA;WSB-LOCAL-ASSIS CHATEAUBRIAND;6000;XGBoost;-0.995;0.333
