;OTIMIZADOR;MODELO;SEED;Strong_predictor;Weight_g;Fitness
500;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.669;0.378
501;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.883;0.376
502;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.883;0.376
503;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.883;0.376
504;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.883;0.376
505;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.883;0.376
506;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.883;0.376
507;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.883;0.376
508;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.894;0.375
509;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.894;0.375
510;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.894;0.375
511;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.894;0.375
512;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.894;0.375
513;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.894;0.375
514;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.894;0.375
515;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.894;0.375
516;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.894;0.375
517;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.894;0.375
518;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.894;0.375
519;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.894;0.375
520;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
521;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
522;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
523;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
524;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
525;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
526;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
527;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
528;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
529;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
530;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
531;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
532;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
533;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
534;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
535;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
536;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
537;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
538;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
539;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
540;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
541;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
542;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
543;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
544;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
545;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
546;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
547;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
548;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
549;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
550;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
551;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
552;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
553;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
554;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
555;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
556;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
557;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
558;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
559;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
560;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
561;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
562;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
563;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
564;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
565;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
566;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
567;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
568;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
569;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
570;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
571;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
572;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
573;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
574;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
575;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
576;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
577;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
578;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
579;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
580;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
581;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
582;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
583;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
584;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
585;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
586;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
587;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
588;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
589;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-0.995;0.374
590;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-1.0;0.374
591;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-1.0;0.374
592;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-1.0;0.374
593;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-1.0;0.374
594;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-1.0;0.374
595;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-1.0;0.374
596;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-1.0;0.374
597;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-1.0;0.374
598;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-1.0;0.374
599;COA;WSB-LOCAL-ASTORGA;6000;XGBoost;-1.0;0.374
