;OTIMIZADOR;MODELO;SEED;Strong_predictor;Weight_g;Fitness
900;COA;WSB-LOCAL-CASCAVEL;10000;XGBoost;-0.455;0.312
901;COA;WSB-LOCAL-CASCAVEL;10000;XGBoost;-0.828;0.308
902;COA;WSB-LOCAL-CASCAVEL;10000;XGBoost;-0.828;0.308
903;COA;WSB-LOCAL-CASCAVEL;10000;XGBoost;-0.828;0.308
904;COA;WSB-LOCAL-CASCAVEL;10000;XGBoost;-0.828;0.308
905;COA;WSB-LOCAL-CASCAVEL;10000;XGBoost;-0.88;0.307
906;COA;WSB-LOCAL-CASCAVEL;10000;XGBoost;-0.88;0.307
907;COA;WSB-LOCAL-CASCAVEL;10000;XGBoost;-0.918;0.307
908;COA;WSB-LOCAL-CASCAVEL;10000;XGBoost;-0.918;0.307
909;COA;WSB-LOCAL-CASCAVEL;10000;XGBoost;-0.918;0.307
910;COA;WSB-LOCAL-CASCAVEL;10000;XGBoost;-0.918;0.307
911;COA;WSB-LOCAL-CASCAVEL;10000;XGBoost;-0.918;0.307
912;COA;WSB-LOCAL-CASCAVEL;10000;XGBoost;-0.918;0.307
913;COA;WSB-LOCAL-CASCAVEL;10000;XGBoost;-0.918;0.307
914;COA;WSB-LOCAL-CASCAVEL;10000;XGBoost;-0.918;0.307
915;COA;WSB-LOCAL-CASCAVEL;10000;XGBoost;-0.918;0.307
916;COA;WSB-LOCAL-CASCAVEL;10000;XGBoost;-0.918;0.307
917;COA;WSB-LOCAL-CASCAVEL;10000;XGBoost;-0.949;0.306
918;COA;WSB-LOCAL-CASCAVEL;10000;XGBoost;-0.949;0.306
919;COA;WSB-LOCAL-CASCAVEL;10000;XGBoost;-0.949;0.306
920;COA;WSB-LOCAL-CASCAVEL;10000;XGBoost;-0.949;0.306
921;COA;WSB-LOCAL-CASCAVEL;10000;XGBoost;-0.949;0.306
922;COA;WSB-LOCAL-CASCAVEL;10000;XGBoost;-0.949;0.306
923;COA;WSB-LOCAL-CASCAVEL;10000;XGBoost;-0.949;0.306
924;COA;WSB-LOCAL-CASCAVEL;10000;XGBoost;-0.949;0.306
925;COA;WSB-LOCAL-CASCAVEL;10000;XGBoost;-0.949;0.306
926;COA;WSB-LOCAL-CASCAVEL;10000;XGBoost;-0.949;0.306
927;COA;WSB-LOCAL-CASCAVEL;10000;XGBoost;-0.949;0.306
928;COA;WSB-LOCAL-CASCAVEL;10000;XGBoost;-0.949;0.306
929;COA;WSB-LOCAL-CASCAVEL;10000;XGBoost;-0.949;0.306
930;COA;WSB-LOCAL-CASCAVEL;10000;XGBoost;-0.949;0.306
931;COA;WSB-LOCAL-CASCAVEL;10000;XGBoost;-0.949;0.306
932;COA;WSB-LOCAL-CASCAVEL;10000;XGBoost;-0.949;0.306
933;COA;WSB-LOCAL-CASCAVEL;10000;XGBoost;-0.949;0.306
934;COA;WSB-LOCAL-CASCAVEL;10000;XGBoost;-0.949;0.306
935;COA;WSB-LOCAL-CASCAVEL;10000;XGBoost;-0.949;0.306
936;COA;WSB-LOCAL-CASCAVEL;10000;XGBoost;-0.949;0.306
937;COA;WSB-LOCAL-CASCAVEL;10000;XGBoost;-0.956;0.306
938;COA;WSB-LOCAL-CASCAVEL;10000;XGBoost;-0.956;0.306
939;COA;WSB-LOCAL-CASCAVEL;10000;XGBoost;-0.956;0.306
940;COA;WSB-LOCAL-CASCAVEL;10000;XGBoost;-0.956;0.306
941;COA;WSB-LOCAL-CASCAVEL;10000;XGBoost;-0.956;0.306
942;COA;WSB-LOCAL-CASCAVEL;10000;XGBoost;-0.956;0.306
943;COA;WSB-LOCAL-CASCAVEL;10000;XGBoost;-0.956;0.306
944;COA;WSB-LOCAL-CASCAVEL;10000;XGBoost;-0.956;0.306
945;COA;WSB-LOCAL-CASCAVEL;10000;XGBoost;-0.956;0.306
946;COA;WSB-LOCAL-CASCAVEL;10000;XGBoost;-0.956;0.306
947;COA;WSB-LOCAL-CASCAVEL;10000;XGBoost;-0.956;0.306
