;OTIMIZADOR;MODELO;SEED;Strong_predictor;Weight_g;Fitness
900;COA;WSB-LOCAL-FOZ DO IGUAÇU;10000;XGBoost;-0.455;0.392
901;COA;WSB-LOCAL-FOZ DO IGUAÇU;10000;XGBoost;-0.828;0.38
902;COA;WSB-LOCAL-FOZ DO IGUAÇU;10000;XGBoost;-0.828;0.38
903;COA;WSB-LOCAL-FOZ DO IGUAÇU;10000;XGBoost;-0.828;0.38
904;COA;WSB-LOCAL-FOZ DO IGUAÇU;10000;XGBoost;-0.828;0.38
905;COA;WSB-LOCAL-FOZ DO IGUAÇU;10000;XGBoost;-0.88;0.378
906;COA;WSB-LOCAL-FOZ DO IGUAÇU;10000;XGBoost;-0.88;0.378
907;COA;WSB-LOCAL-FOZ DO IGUAÇU;10000;XGBoost;-0.918;0.377
908;COA;WSB-LOCAL-FOZ DO IGUAÇU;10000;XGBoost;-0.918;0.377
909;COA;WSB-LOCAL-FOZ DO IGUAÇU;10000;XGBoost;-0.918;0.377
910;COA;WSB-LOCAL-FOZ DO IGUAÇU;10000;XGBoost;-0.918;0.377
911;COA;WSB-LOCAL-FOZ DO IGUAÇU;10000;XGBoost;-0.918;0.377
912;COA;WSB-LOCAL-FOZ DO IGUAÇU;10000;XGBoost;-0.918;0.377
913;COA;WSB-LOCAL-FOZ DO IGUAÇU;10000;XGBoost;-0.918;0.377
914;COA;WSB-LOCAL-FOZ DO IGUAÇU;10000;XGBoost;-0.918;0.377
915;COA;WSB-LOCAL-FOZ DO IGUAÇU;10000;XGBoost;-0.918;0.377
916;COA;WSB-LOCAL-FOZ DO IGUAÇU;10000;XGBoost;-0.918;0.377
917;COA;WSB-LOCAL-FOZ DO IGUAÇU;10000;XGBoost;-0.949;0.376
918;COA;WSB-LOCAL-FOZ DO IGUAÇU;10000;XGBoost;-0.949;0.376
919;COA;WSB-LOCAL-FOZ DO IGUAÇU;10000;XGBoost;-0.949;0.376
920;COA;WSB-LOCAL-FOZ DO IGUAÇU;10000;XGBoost;-0.949;0.376
921;COA;WSB-LOCAL-FOZ DO IGUAÇU;10000;XGBoost;-0.949;0.376
922;COA;WSB-LOCAL-FOZ DO IGUAÇU;10000;XGBoost;-0.949;0.376
923;COA;WSB-LOCAL-FOZ DO IGUAÇU;10000;XGBoost;-0.949;0.376
924;COA;WSB-LOCAL-FOZ DO IGUAÇU;10000;XGBoost;-0.949;0.376
925;COA;WSB-LOCAL-FOZ DO IGUAÇU;10000;XGBoost;-0.949;0.376
926;COA;WSB-LOCAL-FOZ DO IGUAÇU;10000;XGBoost;-0.949;0.376
927;COA;WSB-LOCAL-FOZ DO IGUAÇU;10000;XGBoost;-0.949;0.376
928;COA;WSB-LOCAL-FOZ DO IGUAÇU;10000;XGBoost;-0.949;0.376
929;COA;WSB-LOCAL-FOZ DO IGUAÇU;10000;XGBoost;-0.949;0.376
930;COA;WSB-LOCAL-FOZ DO IGUAÇU;10000;XGBoost;-0.949;0.376
931;COA;WSB-LOCAL-FOZ DO IGUAÇU;10000;XGBoost;-0.949;0.376
932;COA;WSB-LOCAL-FOZ DO IGUAÇU;10000;XGBoost;-0.949;0.376
933;COA;WSB-LOCAL-FOZ DO IGUAÇU;10000;XGBoost;-0.949;0.376
934;COA;WSB-LOCAL-FOZ DO IGUAÇU;10000;XGBoost;-0.949;0.376
935;COA;WSB-LOCAL-FOZ DO IGUAÇU;10000;XGBoost;-0.949;0.376
936;COA;WSB-LOCAL-FOZ DO IGUAÇU;10000;XGBoost;-0.949;0.376
937;COA;WSB-LOCAL-FOZ DO IGUAÇU;10000;XGBoost;-0.956;0.376
938;COA;WSB-LOCAL-FOZ DO IGUAÇU;10000;XGBoost;-0.956;0.376
939;COA;WSB-LOCAL-FOZ DO IGUAÇU;10000;XGBoost;-0.956;0.376
940;COA;WSB-LOCAL-FOZ DO IGUAÇU;10000;XGBoost;-0.956;0.376
941;COA;WSB-LOCAL-FOZ DO IGUAÇU;10000;XGBoost;-0.956;0.376
