;OTIMIZADOR;MODELO;SEED;Strong_predictor;Weight_g;Fitness
200;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.49;0.362
201;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.49;0.362
202;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.49;0.362
203;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.675;0.352
204;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.675;0.352
205;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.675;0.352
206;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.675;0.352
207;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.848;0.342
208;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.848;0.342
209;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.848;0.342
210;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.848;0.342
211;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.848;0.342
212;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.897;0.34
213;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.897;0.34
214;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.928;0.338
215;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.928;0.338
216;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.928;0.338
217;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.928;0.338
218;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.928;0.338
219;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.928;0.338
220;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.928;0.338
221;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.928;0.338
222;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.928;0.338
223;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.928;0.338
224;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.928;0.338
225;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.928;0.338
226;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.928;0.338
227;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.928;0.338
228;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.928;0.338
229;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.928;0.338
230;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.928;0.338
231;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.928;0.338
232;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.928;0.338
233;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.928;0.338
234;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.928;0.338
235;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.928;0.338
236;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.928;0.338
237;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.928;0.338
238;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.928;0.338
239;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.928;0.338
240;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.928;0.338
241;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.928;0.338
242;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.928;0.338
243;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.928;0.338
244;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.928;0.338
245;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.928;0.338
246;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.928;0.338
247;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.928;0.338
248;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.928;0.338
249;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.928;0.338
250;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.928;0.338
251;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.928;0.338
252;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.98;0.335
253;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.98;0.335
254;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.98;0.335
255;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.98;0.335
256;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.98;0.335
257;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.98;0.335
258;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.98;0.335
259;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.98;0.335
260;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.98;0.335
261;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.98;0.335
262;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.98;0.335
263;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.98;0.335
264;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.98;0.335
265;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.98;0.335
266;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.98;0.335
267;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.98;0.335
268;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.98;0.335
269;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.98;0.335
270;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.98;0.335
271;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.98;0.335
272;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.98;0.335
273;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.98;0.335
274;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.98;0.335
275;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.98;0.335
276;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.98;0.335
277;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.98;0.335
278;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.98;0.335
279;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.993;0.334
280;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.993;0.334
281;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.993;0.334
282;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.993;0.334
283;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.993;0.334
284;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.993;0.334
285;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.993;0.334
286;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.993;0.334
287;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.993;0.334
288;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.993;0.334
289;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.993;0.334
290;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.993;0.334
291;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.993;0.334
292;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.993;0.334
293;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.993;0.334
294;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.993;0.334
295;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.993;0.334
296;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.993;0.334
297;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.993;0.334
298;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.993;0.334
299;COA;WSB-LOCAL-JAGUARIAÍVA;3000;XGBoost;-0.994;0.334
