;OTIMIZADOR;MODELO;SEED;Strong_predictor;Weight_g;Fitness
0;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.347;0.345
1;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.885;0.342
2;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.885;0.342
3;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.885;0.342
4;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.885;0.342
5;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.885;0.342
6;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.885;0.342
7;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.885;0.342
8;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.885;0.342
9;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.885;0.342
10;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.885;0.342
11;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.885;0.342
12;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.885;0.342
13;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.885;0.342
14;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.885;0.342
15;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.885;0.342
16;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.885;0.342
17;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.885;0.342
18;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.885;0.342
19;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.885;0.342
20;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.885;0.342
21;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.885;0.342
22;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.885;0.342
23;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.885;0.342
24;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.885;0.342
25;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.885;0.342
26;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.885;0.342
27;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.885;0.342
28;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.885;0.342
29;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.885;0.342
30;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.885;0.342
31;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.885;0.342
32;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.885;0.342
33;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.885;0.342
34;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.885;0.342
35;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.867;0.342
36;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.867;0.342
37;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.867;0.342
38;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.867;0.342
39;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.867;0.342
40;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.867;0.342
41;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.867;0.342
42;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.867;0.342
43;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.867;0.342
44;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.867;0.342
45;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.867;0.342
46;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.867;0.342
47;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.867;0.342
48;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.867;0.342
49;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.867;0.342
50;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.867;0.342
51;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.867;0.342
52;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.867;0.342
53;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.867;0.342
54;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.867;0.342
55;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.867;0.342
56;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.867;0.342
57;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.863;0.342
58;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.863;0.342
59;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.863;0.342
60;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.863;0.342
61;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.863;0.342
62;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.863;0.342
63;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.863;0.342
64;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.863;0.342
65;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.863;0.342
66;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.863;0.342
67;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.863;0.342
68;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.863;0.342
69;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.863;0.342
70;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.863;0.342
71;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.863;0.342
72;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.863;0.342
73;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.863;0.342
74;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.863;0.342
75;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.863;0.342
76;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.863;0.342
77;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.863;0.342
78;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.863;0.342
79;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.863;0.342
80;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.863;0.342
81;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.863;0.342
82;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.863;0.342
83;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.863;0.342
84;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.863;0.342
85;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.863;0.342
86;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.863;0.342
87;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.863;0.342
88;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.863;0.342
89;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.863;0.342
90;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.863;0.342
91;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.863;0.342
92;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.863;0.342
93;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.863;0.342
94;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.863;0.342
95;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.863;0.342
96;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.863;0.342
97;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.863;0.342
98;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.863;0.342
99;COA;WSB-LOCAL-PALMAS;1000;XGBoost;-0.863;0.342
