;OTIMIZADOR;MODELO;SEED;Strong_predictor;Weight_g;Fitness
900;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.455;0.495
901;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.455;0.495
902;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.148;0.487
903;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.148;0.487
904;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.148;0.487
905;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.148;0.487
906;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.148;0.487
907;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.148;0.487
908;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.008;0.484
909;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.008;0.484
910;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.008;0.484
911;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.008;0.484
912;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.008;0.484
913;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.008;0.484
914;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.008;0.484
915;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.008;0.484
916;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.008;0.484
917;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.008;0.484
918;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.008;0.484
919;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.008;0.484
920;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.008;0.484
921;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.008;0.484
922;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.008;0.484
923;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.008;0.484
924;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.008;0.484
925;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
926;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
927;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
928;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
929;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
930;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
931;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
932;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
933;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
934;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
935;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
936;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
937;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
938;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
939;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
940;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
941;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
942;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
943;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
944;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
945;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
946;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
947;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
948;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
949;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
950;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
951;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
952;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
953;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
954;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
955;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
956;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
957;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
958;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
959;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
960;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
961;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
962;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
963;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
964;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
965;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
966;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
967;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
968;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
969;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
970;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
971;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
972;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
973;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
974;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
975;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
976;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
977;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
978;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
979;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
980;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
981;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
982;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
983;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
984;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
985;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
986;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
987;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
988;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
989;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
990;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
991;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
992;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
993;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
994;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
995;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
996;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
997;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
998;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
999;COA;WSB-LOCAL-PARANAVAÍ;10000;XGBoost;-0.003;0.484
