;OTIMIZADOR;MODELO;SEED;Strong_predictor;Weight_g;Fitness
900;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.455;0.275
901;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.828;0.262
902;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.828;0.262
903;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.828;0.262
904;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.828;0.262
905;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.88;0.261
906;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.88;0.261
907;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.918;0.26
908;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.918;0.26
909;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.918;0.26
910;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.918;0.26
911;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.918;0.26
912;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.918;0.26
913;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.918;0.26
914;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.918;0.26
915;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.918;0.26
916;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.918;0.26
917;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.949;0.259
918;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.949;0.259
919;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.949;0.259
920;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.949;0.259
921;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.949;0.259
922;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.949;0.259
923;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.949;0.259
924;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.949;0.259
925;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.949;0.259
926;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.949;0.259
927;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.949;0.259
928;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.949;0.259
929;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.949;0.259
930;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.949;0.259
931;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.949;0.259
932;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.949;0.259
933;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.949;0.259
934;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.949;0.259
935;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.949;0.259
936;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.949;0.259
937;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.956;0.259
938;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.956;0.259
939;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.956;0.259
940;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.956;0.259
941;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.956;0.259
942;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.956;0.259
943;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.956;0.259
944;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.956;0.259
945;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.956;0.259
946;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.956;0.259
947;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.956;0.259
948;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.956;0.259
949;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.956;0.259
950;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.956;0.259
951;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.956;0.259
952;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.956;0.259
953;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.982;0.258
954;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.982;0.258
955;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.982;0.258
956;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.982;0.258
957;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.982;0.258
958;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.982;0.258
959;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.982;0.258
960;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.982;0.258
961;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.982;0.258
962;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.982;0.258
963;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.982;0.258
964;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.982;0.258
965;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.982;0.258
966;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.982;0.258
967;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.982;0.258
968;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.982;0.258
969;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.982;0.258
970;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.982;0.258
971;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.982;0.258
972;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.982;0.258
973;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.982;0.258
974;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.982;0.258
975;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.982;0.258
976;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.982;0.258
977;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.982;0.258
978;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.982;0.258
979;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.982;0.258
980;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.982;0.258
981;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.982;0.258
982;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.982;0.258
983;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.982;0.258
984;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.982;0.258
985;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.982;0.258
986;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.982;0.258
987;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.982;0.258
988;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.982;0.258
989;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.982;0.258
990;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.982;0.258
991;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.982;0.258
992;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.982;0.258
993;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.982;0.258
994;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.982;0.258
995;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.982;0.258
996;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.982;0.258
997;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.989;0.258
998;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.989;0.258
999;COA;WSB-LOCAL-PINHAIS;10000;XGBoost;-0.989;0.258
