;OTIMIZADOR;MODELO;SEED;Strong_predictor;Weight_g;Fitness
0;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.347;0.363
1;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.885;0.35
2;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.885;0.35
3;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.885;0.35
4;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.885;0.35
5;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.885;0.35
6;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.96;0.349
7;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.96;0.349
8;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.96;0.349
9;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.96;0.349
10;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.96;0.349
11;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.96;0.349
12;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.96;0.349
13;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.96;0.349
14;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.96;0.349
15;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.96;0.349
16;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.96;0.349
17;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.96;0.349
18;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.96;0.349
19;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.96;0.349
20;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.971;0.349
21;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.971;0.349
22;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.971;0.349
23;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.971;0.349
24;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.971;0.349
25;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.971;0.349
26;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.971;0.349
27;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.971;0.349
28;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.971;0.349
29;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.971;0.349
30;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.971;0.349
31;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.971;0.349
32;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.99;0.349
33;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.99;0.349
34;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.99;0.349
35;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.99;0.349
36;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.99;0.349
37;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.99;0.349
38;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.99;0.349
39;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.99;0.349
40;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.99;0.349
41;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.99;0.349
42;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.99;0.349
43;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.99;0.349
44;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.99;0.349
45;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.99;0.349
46;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.99;0.349
47;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.99;0.349
48;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.99;0.349
49;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.99;0.349
50;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.99;0.349
51;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.99;0.349
52;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.99;0.349
53;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.99;0.349
54;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.99;0.349
55;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.99;0.349
56;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.99;0.349
57;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.99;0.349
58;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.99;0.349
59;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.99;0.349
60;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.99;0.349
61;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.99;0.349
62;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.99;0.349
63;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.99;0.349
64;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.99;0.349
65;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.99;0.349
66;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.99;0.349
67;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.99;0.349
68;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.99;0.349
69;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.99;0.349
70;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.99;0.349
71;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.99;0.349
72;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.99;0.349
73;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.99;0.349
74;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.99;0.349
75;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.99;0.349
76;COA;WSB-LOCAL-QUEDAS DO IGUAÇU;1000;XGBoost;-0.99;0.349
