;OTIMIZADOR;MODELO;SEED;Strong_predictor;Weight_g;Fitness
0;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.347;0.296
1;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.885;0.293
2;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.885;0.293
3;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.885;0.293
4;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.885;0.293
5;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.885;0.293
6;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.96;0.293
7;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.96;0.293
8;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.96;0.293
9;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.96;0.293
10;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.96;0.293
11;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.96;0.293
12;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.96;0.293
13;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.96;0.293
14;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.96;0.293
15;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.96;0.293
16;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.96;0.293
17;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.96;0.293
18;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.96;0.293
19;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.96;0.293
20;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.971;0.293
21;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.971;0.293
22;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.971;0.293
23;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.971;0.293
24;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.971;0.293
25;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.971;0.293
26;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.971;0.293
27;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.971;0.293
28;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.971;0.293
29;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.971;0.293
30;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.971;0.293
31;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.971;0.293
32;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
33;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
34;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
35;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
36;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
37;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
38;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
39;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
40;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
41;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
42;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
43;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
44;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
45;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
46;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
47;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
48;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
49;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
50;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
51;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
52;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
53;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
54;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
55;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
56;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
57;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
58;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
59;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
60;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
61;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
62;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
63;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
64;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
65;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
66;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
67;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
68;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
69;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
70;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
71;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
72;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
73;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
74;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
75;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
76;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
77;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
78;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
79;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
80;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
81;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
82;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
83;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
84;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
85;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
86;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
87;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
88;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
89;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
90;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
91;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
92;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
93;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
94;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
95;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
96;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
97;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
98;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
99;COA;WSB-LOCAL-TELÊMACO BORBA;1000;XGBoost;-0.99;0.293
