;Reservoirs;Sparsity;Spectral Radius;Fitness
0;297.0;0.7858;0.7147;33.78911732532648
1;289.0;0.3524;0.0337;22.283597369974466
2;289.0;0.3524;0.0337;22.283597369974466
3;270.0;0.614;0.4069;16.850906265226442
4;270.0;0.614;0.4069;16.850906265226442
5;270.0;0.614;0.4069;16.850906265226442
6;270.0;0.614;0.4069;16.850906265226442
7;258.0;0.6342;0.328;16.36124455644051
8;258.0;0.6342;0.328;16.36124455644051
9;258.0;0.6342;0.328;16.36124455644051
10;258.0;0.6342;0.328;16.36124455644051
11;258.0;0.6342;0.328;16.36124455644051
12;220.0;0.6059;0.3278;13.277611701749336
13;220.0;0.6059;0.3278;13.277611701749336
14;220.0;0.6059;0.3278;13.277611701749336
