;Reservoirs;Sparsity;Spectral Radius;Noise;Fitness
0;357.0;0.897;0.915;0.259;0.38395492913772816
1;357.0;0.897;0.915;0.259;0.38395492913772816
2;282.0;0.792;0.608;0.311;0.373814314499607
3;282.0;0.792;0.608;0.311;0.373814314499607
4;323.0;0.866;0.749;0.31;0.36869681482700944
5;323.0;0.866;0.749;0.31;0.36869681482700944
6;323.0;0.866;0.749;0.31;0.36869681482700944
7;323.0;0.866;0.749;0.31;0.36869681482700944
8;319.0;0.8;0.663;0.245;0.34758146789418554
9;319.0;0.8;0.663;0.245;0.34758146789418554
10;320.0;0.828;0.666;0.259;0.339369707711935
11;320.0;0.042;0.645;0.254;0.3277234553304058
12;320.0;0.042;0.645;0.254;0.3277234553304058
13;320.0;0.266;0.636;0.255;0.3253597776072036
14;320.0;0.266;0.636;0.255;0.3253597776072036
