;Units;Epochs;Batch Size;Activation;Fitness
0;150;92;81;softmax;0.3661945
1;260;82;62;sigmoid;0.32546315
2;260;82;62;sigmoid;0.32546315
3;260;82;62;sigmoid;0.32546315
4;260;82;62;sigmoid;0.32546315
5;227;89;40;sigmoid;0.32483605
6;227;89;40;sigmoid;0.32483605
7;227;89;40;sigmoid;0.32483605
8;226;89;46;sigmoid;0.323167
9;226;89;46;sigmoid;0.323167
10;219;88;45;sigmoid;0.31996572
11;219;88;45;sigmoid;0.31996572
12;219;88;45;sigmoid;0.31996572
13;219;88;45;sigmoid;0.31996572
14;247;88;62;sigmoid;0.31688896
