;N_estimators;Max_depth;Min_samples_split;Min_samples_leaf;Fitness
0;336.0;375.0;30.0;5.0;0.29872277680506465
1;336.0;375.0;30.0;5.0;0.29872277680506465
2;336.0;375.0;30.0;5.0;0.29872277680506465
3;315.0;378.0;28.0;3.0;0.2891466031230143
4;315.0;378.0;28.0;3.0;0.2891466031230143
5;315.0;378.0;28.0;3.0;0.2891466031230143
6;315.0;378.0;28.0;3.0;0.2891466031230143
7;371.0;334.0;27.0;4.0;0.28677114418540717
8;369.0;353.0;26.0;3.0;0.2843318889916845
9;368.0;362.0;26.0;2.0;0.2817221634154661
10;368.0;362.0;26.0;2.0;0.2817221634154661
11;368.0;362.0;26.0;2.0;0.2817221634154661
12;368.0;362.0;26.0;2.0;0.2817221634154661
13;368.0;362.0;26.0;2.0;0.2817221634154661
14;368.0;362.0;26.0;2.0;0.2817221634154661
