;N_estimators;Max_depth;Booster;Lambda;Alpha;Fitness
0;252;170;gbtree;0.9065;0.2341;0.5264801
1;252;170;gbtree;0.9065;0.2341;0.5264801
2;252;170;gbtree;0.9065;0.2341;0.5264801
3;246;134;gbtree;0.9632;0.4924;0.51818126
4;246;134;gbtree;0.9632;0.4924;0.51818126
5;246;134;gbtree;0.9632;0.4924;0.51818126
6;246;134;gbtree;0.9632;0.4924;0.51818126
7;242;134;gbtree;0.9446;0.4963;0.51743495
8;248;150;gbtree;0.8578;0.3454;0.51658565
9;248;150;gbtree;0.8578;0.3454;0.51658565
10;248;150;gbtree;0.8578;0.3454;0.51658565
11;248;150;gbtree;0.8578;0.3454;0.51658565
12;253;138;gbtree;0.8923;0.3444;0.5154135
13;253;138;gbtree;0.8923;0.3444;0.5154135
14;253;138;gbtree;0.8923;0.3444;0.5154135
