;Reservoirs;Sparsity;Spectral Radius;Noise;Fitness
0;239.0;0.061;0.97;0.981;0.7959290913575195
1;252.0;0.981;0.875;0.356;0.5822847831639965
2;252.0;0.981;0.875;0.356;0.5822847831639965
3;252.0;0.981;0.875;0.356;0.5822847831639965
4;346.0;0.786;0.731;0.431;0.5124757868880989
5;346.0;0.786;0.731;0.431;0.5124757868880989
6;346.0;0.786;0.731;0.431;0.5124757868880989
7;346.0;0.786;0.731;0.431;0.5124757868880989
8;346.0;0.786;0.731;0.431;0.5124757868880989
9;386.0;0.281;0.571;0.156;0.4375404806373549
10;386.0;0.281;0.571;0.156;0.4375404806373549
11;386.0;0.281;0.571;0.156;0.4375404806373549
12;386.0;0.281;0.571;0.156;0.4375404806373549
13;386.0;0.281;0.571;0.156;0.4375404806373549
14;386.0;0.281;0.571;0.156;0.4375404806373549
15;386.0;0.281;0.571;0.156;0.4375404806373549
16;386.0;0.281;0.571;0.156;0.4375404806373549
17;386.0;0.281;0.571;0.156;0.4375404806373549
18;386.0;0.281;0.571;0.156;0.4375404806373549
19;386.0;0.281;0.571;0.156;0.4375404806373549
20;386.0;0.281;0.571;0.156;0.4375404806373549
21;386.0;0.281;0.571;0.156;0.4375404806373549
22;386.0;0.281;0.571;0.156;0.4375404806373549
23;386.0;0.281;0.571;0.156;0.4375404806373549
24;386.0;0.281;0.571;0.156;0.4375404806373549
25;386.0;0.281;0.571;0.156;0.4375404806373549
26;386.0;0.281;0.571;0.156;0.4375404806373549
27;386.0;0.281;0.571;0.156;0.4375404806373549
28;386.0;0.281;0.571;0.156;0.4375404806373549
29;386.0;0.281;0.571;0.156;0.4375404806373549
30;386.0;0.281;0.571;0.156;0.4375404806373549
31;386.0;0.281;0.571;0.156;0.4375404806373549
32;386.0;0.281;0.571;0.156;0.4375404806373549
33;386.0;0.281;0.571;0.156;0.4375404806373549
34;386.0;0.281;0.571;0.156;0.4375404806373549
35;386.0;0.281;0.571;0.156;0.4375404806373549
36;386.0;0.281;0.571;0.156;0.4375404806373549
37;386.0;0.281;0.571;0.156;0.4375404806373549
38;386.0;0.281;0.571;0.156;0.4375404806373549
39;351.0;0.636;0.931;0.236;0.3957999330732772
40;351.0;0.636;0.931;0.236;0.3957999330732772
41;351.0;0.636;0.931;0.236;0.3957999330732772
42;351.0;0.636;0.931;0.236;0.3957999330732772
43;351.0;0.636;0.931;0.236;0.3957999330732772
44;351.0;0.636;0.931;0.236;0.3957999330732772
45;351.0;0.636;0.931;0.236;0.3957999330732772
46;351.0;0.636;0.931;0.236;0.3957999330732772
47;351.0;0.636;0.931;0.236;0.3957999330732772
48;351.0;0.636;0.931;0.236;0.3957999330732772
49;351.0;0.636;0.931;0.236;0.3957999330732772
50;351.0;0.636;0.931;0.236;0.3957999330732772
51;351.0;0.636;0.931;0.236;0.3957999330732772
52;351.0;0.636;0.931;0.236;0.3957999330732772
53;351.0;0.636;0.931;0.236;0.3957999330732772
54;351.0;0.636;0.931;0.236;0.3957999330732772
55;351.0;0.636;0.931;0.236;0.3957999330732772
56;246.0;0.566;0.651;0.101;0.34849713188170234
57;246.0;0.566;0.651;0.101;0.34849713188170234
58;246.0;0.566;0.651;0.101;0.34849713188170234
59;246.0;0.566;0.651;0.101;0.34849713188170234
60;246.0;0.566;0.651;0.101;0.34849713188170234
61;246.0;0.566;0.651;0.101;0.34849713188170234
62;246.0;0.566;0.651;0.101;0.34849713188170234
63;246.0;0.566;0.651;0.101;0.34849713188170234
64;246.0;0.566;0.651;0.101;0.34849713188170234
65;246.0;0.566;0.651;0.101;0.34849713188170234
66;246.0;0.566;0.651;0.101;0.34849713188170234
67;246.0;0.566;0.651;0.101;0.34849713188170234
68;246.0;0.566;0.651;0.101;0.34849713188170234
69;246.0;0.566;0.651;0.101;0.34849713188170234
70;246.0;0.566;0.651;0.101;0.34849713188170234
71;246.0;0.566;0.651;0.101;0.34849713188170234
72;246.0;0.566;0.651;0.101;0.34849713188170234
73;246.0;0.566;0.651;0.101;0.34849713188170234
74;246.0;0.566;0.651;0.101;0.34849713188170234
75;246.0;0.566;0.651;0.101;0.34849713188170234
76;246.0;0.566;0.651;0.101;0.34849713188170234
77;248.0;0.656;0.581;0.101;0.3175550037435835
78;248.0;0.656;0.581;0.101;0.3175550037435835
79;248.0;0.656;0.581;0.101;0.3175550037435835
80;248.0;0.656;0.581;0.101;0.3175550037435835
81;248.0;0.656;0.581;0.101;0.3175550037435835
82;248.0;0.656;0.581;0.101;0.3175550037435835
83;248.0;0.656;0.581;0.101;0.3175550037435835
84;248.0;0.656;0.581;0.101;0.3175550037435835
85;248.0;0.656;0.581;0.101;0.3175550037435835
86;248.0;0.671;0.61;0.101;0.3145041570401293
87;248.0;0.671;0.61;0.101;0.3145041570401293
88;248.0;0.671;0.61;0.101;0.3145041570401293
89;248.0;0.671;0.61;0.101;0.3145041570401293
90;248.0;0.671;0.61;0.101;0.3145041570401293
91;248.0;0.671;0.61;0.101;0.3145041570401293
92;248.0;0.671;0.61;0.101;0.3145041570401293
93;248.0;0.671;0.61;0.101;0.3145041570401293
94;248.0;0.671;0.61;0.101;0.3145041570401293
95;248.0;0.671;0.61;0.101;0.3145041570401293
96;248.0;0.671;0.61;0.101;0.3145041570401293
97;248.0;0.671;0.61;0.101;0.3145041570401293
98;248.0;0.671;0.61;0.101;0.3145041570401293
99;248.0;0.671;0.61;0.101;0.3145041570401293
100;248.0;0.671;0.61;0.101;0.3145041570401293
101;248.0;0.671;0.61;0.101;0.3145041570401293
102;248.0;0.671;0.61;0.101;0.3145041570401293
103;248.0;0.671;0.61;0.101;0.3145041570401293
104;248.0;0.671;0.61;0.101;0.3145041570401293
105;248.0;0.671;0.61;0.101;0.3145041570401293
106;248.0;0.671;0.61;0.101;0.3145041570401293
107;248.0;0.671;0.61;0.101;0.3145041570401293
108;248.0;0.671;0.61;0.101;0.3145041570401293
109;248.0;0.671;0.61;0.101;0.3145041570401293
110;248.0;0.671;0.61;0.101;0.3145041570401293
111;248.0;0.671;0.61;0.101;0.3145041570401293
112;248.0;0.671;0.61;0.101;0.3145041570401293
113;248.0;0.671;0.61;0.101;0.3145041570401293
114;248.0;0.671;0.61;0.101;0.3145041570401293
115;248.0;0.671;0.61;0.101;0.3145041570401293
116;248.0;0.671;0.61;0.101;0.3145041570401293
117;248.0;0.676;0.607;0.106;0.31205849989286594
118;248.0;0.676;0.607;0.106;0.31205849989286594
119;248.0;0.676;0.607;0.106;0.31205849989286594
120;248.0;0.676;0.607;0.106;0.31205849989286594
121;248.0;0.676;0.607;0.106;0.31205849989286594
122;248.0;0.676;0.607;0.106;0.31205849989286594
123;248.0;0.676;0.607;0.106;0.31205849989286594
124;248.0;0.676;0.607;0.106;0.31205849989286594
125;248.0;0.676;0.607;0.106;0.31205849989286594
126;248.0;0.676;0.607;0.106;0.31205849989286594
127;248.0;0.676;0.607;0.106;0.31205849989286594
128;248.0;0.676;0.607;0.106;0.31205849989286594
129;248.0;0.676;0.607;0.106;0.31205849989286594
130;248.0;0.676;0.607;0.106;0.31205849989286594
131;248.0;0.676;0.607;0.106;0.31205849989286594
132;248.0;0.676;0.607;0.106;0.31205849989286594
133;248.0;0.676;0.607;0.106;0.31205849989286594
134;248.0;0.676;0.607;0.106;0.31205849989286594
135;248.0;0.676;0.607;0.106;0.31205849989286594
136;248.0;0.676;0.607;0.106;0.31205849989286594
137;248.0;0.676;0.607;0.106;0.31205849989286594
138;248.0;0.676;0.607;0.106;0.31205849989286594
139;248.0;0.676;0.607;0.106;0.31205849989286594
140;248.0;0.676;0.607;0.106;0.31205849989286594
141;248.0;0.676;0.607;0.106;0.31205849989286594
142;248.0;0.676;0.607;0.106;0.31205849989286594
143;248.0;0.676;0.607;0.106;0.31205849989286594
144;248.0;0.676;0.607;0.106;0.31205849989286594
145;248.0;0.676;0.607;0.106;0.31205849989286594
146;248.0;0.676;0.607;0.106;0.31205849989286594
147;248.0;0.676;0.607;0.106;0.31205849989286594
148;248.0;0.676;0.607;0.106;0.31205849989286594
149;248.0;0.676;0.607;0.106;0.31205849989286594
150;248.0;0.676;0.607;0.106;0.31205849989286594
151;248.0;0.676;0.607;0.106;0.31205849989286594
152;248.0;0.676;0.607;0.106;0.31205849989286594
153;248.0;0.676;0.607;0.106;0.31205849989286594
154;248.0;0.676;0.607;0.106;0.31205849989286594
155;248.0;0.676;0.607;0.106;0.31205849989286594
156;248.0;0.676;0.607;0.106;0.31205849989286594
157;248.0;0.676;0.607;0.106;0.31205849989286594
158;248.0;0.676;0.607;0.106;0.31205849989286594
159;248.0;0.676;0.607;0.106;0.31205849989286594
160;248.0;0.676;0.607;0.106;0.31205849989286594
161;248.0;0.676;0.607;0.106;0.31205849989286594
