;Units;Epochs;Batch Size;Activation;Fitness
0;408;64;60;softmax;0.39412373
1;408;64;60;softmax;0.39412373
2;408;64;60;softmax;0.39412373
3;393;72;83;softmax;0.38211596
4;393;72;83;softmax;0.38211596
5;393;72;83;softmax;0.38211596
6;393;72;83;softmax;0.38211596
7;109;47;205;sigmoid;0.38109824
8;109;47;205;sigmoid;0.38109824
9;109;47;205;sigmoid;0.38109824
10;109;47;205;sigmoid;0.38109824
11;109;47;205;sigmoid;0.38109824
12;109;47;205;sigmoid;0.38109824
13;109;47;205;sigmoid;0.38109824
14;109;47;205;sigmoid;0.38109824
15;109;47;205;sigmoid;0.38109824
16;109;47;205;sigmoid;0.38109824
17;109;47;205;sigmoid;0.38109824
18;109;47;205;sigmoid;0.38109824
19;109;47;205;sigmoid;0.38109824
20;109;47;205;sigmoid;0.38109824
21;109;47;205;sigmoid;0.38109824
22;109;47;205;sigmoid;0.38109824
23;109;47;205;sigmoid;0.38109824
24;109;47;205;sigmoid;0.38109824
25;109;47;205;sigmoid;0.38109824
26;109;47;205;sigmoid;0.38109824
27;109;47;205;sigmoid;0.38109824
28;109;47;205;sigmoid;0.38109824
29;109;47;205;sigmoid;0.38109824
30;109;47;205;sigmoid;0.38109824
31;109;47;205;sigmoid;0.38109824
32;109;47;205;sigmoid;0.38109824
33;109;47;205;sigmoid;0.38109824
34;109;47;205;sigmoid;0.38109824
35;109;47;205;sigmoid;0.38109824
36;109;47;205;sigmoid;0.38109824
37;109;47;205;sigmoid;0.38109824
38;109;47;205;sigmoid;0.38109824
39;109;47;205;sigmoid;0.38109824
40;109;47;205;sigmoid;0.38109824
41;109;47;205;sigmoid;0.38109824
42;109;47;205;sigmoid;0.38109824
43;109;47;205;sigmoid;0.38109824
44;109;47;205;sigmoid;0.38109824
45;109;47;205;sigmoid;0.38109824
46;109;47;205;sigmoid;0.38109824
47;109;47;205;sigmoid;0.38109824
48;109;47;205;sigmoid;0.38109824
49;109;47;205;sigmoid;0.38109824
50;109;47;205;sigmoid;0.38109824
51;109;47;205;sigmoid;0.38109824
52;109;47;205;sigmoid;0.38109824
53;109;47;205;sigmoid;0.38109824
54;109;47;205;sigmoid;0.38109824
55;109;47;205;sigmoid;0.38109824
56;109;47;205;sigmoid;0.38109824
57;109;47;205;sigmoid;0.38109824
58;109;47;205;sigmoid;0.38109824
59;109;47;205;sigmoid;0.38109824
60;109;47;205;sigmoid;0.38109824
61;109;47;205;sigmoid;0.38109824
62;109;47;205;sigmoid;0.38109824
63;109;47;205;sigmoid;0.38109824
64;109;47;205;sigmoid;0.38109824
65;109;47;205;sigmoid;0.38109824
66;109;47;205;sigmoid;0.38109824
67;211;73;250;sigmoid;0.3796694
68;211;73;250;sigmoid;0.3796694
69;211;73;250;sigmoid;0.3796694
70;211;73;250;sigmoid;0.3796694
71;211;73;250;sigmoid;0.3796694
72;211;73;250;sigmoid;0.3796694
73;211;73;250;sigmoid;0.3796694
74;211;73;250;sigmoid;0.3796694
75;211;73;250;sigmoid;0.3796694
76;211;73;250;sigmoid;0.3796694
77;211;73;250;sigmoid;0.3796694
78;211;73;250;sigmoid;0.3796694
79;211;73;250;sigmoid;0.3796694
80;211;73;250;sigmoid;0.3796694
81;211;73;250;sigmoid;0.3796694
82;211;73;250;sigmoid;0.3796694
83;211;73;250;sigmoid;0.3796694
84;211;73;250;sigmoid;0.3796694
85;211;73;250;sigmoid;0.3796694
86;211;73;250;sigmoid;0.3796694
87;211;73;250;sigmoid;0.3796694
88;211;73;250;sigmoid;0.3796694
89;211;73;250;sigmoid;0.3796694
90;211;73;250;sigmoid;0.3796694
91;211;73;250;sigmoid;0.3796694
92;211;73;250;sigmoid;0.3796694
93;211;73;250;sigmoid;0.3796694
94;211;73;250;sigmoid;0.3796694
95;211;73;250;sigmoid;0.3796694
96;211;73;250;sigmoid;0.3796694
97;211;73;250;sigmoid;0.3796694
98;211;73;250;sigmoid;0.3796694
99;211;73;250;sigmoid;0.3796694
100;211;73;250;sigmoid;0.3796694
101;211;73;250;sigmoid;0.3796694
102;211;73;250;sigmoid;0.3796694
103;211;73;250;sigmoid;0.3796694
104;211;73;250;sigmoid;0.3796694
105;211;73;250;sigmoid;0.3796694
106;211;73;250;sigmoid;0.3796694
107;211;73;250;sigmoid;0.3796694
108;211;73;250;sigmoid;0.3796694
109;211;73;250;sigmoid;0.3796694
110;211;73;250;sigmoid;0.3796694
111;211;73;250;sigmoid;0.3796694
112;211;73;250;sigmoid;0.3796694
113;211;73;250;sigmoid;0.3796694
114;211;73;250;sigmoid;0.3796694
115;211;73;250;sigmoid;0.3796694
116;211;73;250;sigmoid;0.3796694
117;211;73;250;sigmoid;0.3796694
118;211;73;250;sigmoid;0.3796694
119;211;73;250;sigmoid;0.3796694
120;211;73;250;sigmoid;0.3796694
121;211;73;250;sigmoid;0.3796694
122;211;73;250;sigmoid;0.3796694
123;211;73;250;sigmoid;0.3796694
124;211;73;250;sigmoid;0.3796694
125;211;73;250;sigmoid;0.3796694
126;211;73;250;sigmoid;0.3796694
127;211;73;250;sigmoid;0.3796694
128;211;73;250;sigmoid;0.3796694
129;211;73;250;sigmoid;0.3796694
130;211;73;250;sigmoid;0.3796694
131;211;73;250;sigmoid;0.3796694
132;211;73;250;sigmoid;0.3796694
133;211;73;250;sigmoid;0.3796694
134;211;73;250;sigmoid;0.3796694
135;211;73;250;sigmoid;0.3796694
136;211;73;250;sigmoid;0.3796694
137;211;73;250;sigmoid;0.3796694
138;211;73;250;sigmoid;0.3796694
139;211;73;250;sigmoid;0.3796694
140;211;73;250;sigmoid;0.3796694
141;211;73;250;sigmoid;0.3796694
142;211;73;250;sigmoid;0.3796694
143;211;73;250;sigmoid;0.3796694
144;211;73;250;sigmoid;0.3796694
145;211;73;250;sigmoid;0.3796694
146;211;73;250;sigmoid;0.3796694
147;211;73;250;sigmoid;0.3796694
148;211;73;250;sigmoid;0.3796694
149;211;73;250;sigmoid;0.3796694
