;Hidden Layers;Learning Rate Init;Alpha;Activation;Fitness
0;129;0.506;0.465;logistic;61.89754
1;129;0.506;0.465;logistic;61.89754
2;185;0.666;0.505;logistic;13.058064
3;312;0.081;0.08;logistic;0.8007744
4;312;0.081;0.08;logistic;0.8007744
5;312;0.081;0.08;logistic;0.8007744
6;312;0.081;0.08;logistic;0.8007744
7;312;0.081;0.08;logistic;0.8007744
8;312;0.081;0.08;logistic;0.8007744
9;312;0.081;0.08;logistic;0.8007744
10;312;0.081;0.08;logistic;0.8007744
11;312;0.081;0.08;logistic;0.8007744
12;312;0.081;0.08;logistic;0.8007744
13;312;0.081;0.08;logistic;0.8007744
14;312;0.081;0.08;logistic;0.8007744
15;312;0.081;0.08;logistic;0.8007744
16;312;0.081;0.08;logistic;0.8007744
17;312;0.081;0.08;logistic;0.8007744
18;312;0.081;0.08;logistic;0.8007744
19;312;0.081;0.08;logistic;0.8007744
20;312;0.081;0.08;logistic;0.8007744
21;312;0.081;0.08;logistic;0.8007744
22;312;0.081;0.08;logistic;0.8007744
23;312;0.081;0.08;logistic;0.8007744
24;312;0.081;0.08;logistic;0.8007744
25;312;0.081;0.08;logistic;0.8007744
26;312;0.081;0.08;logistic;0.8007744
27;312;0.081;0.08;logistic;0.8007744
28;312;0.081;0.08;logistic;0.8007744
29;312;0.081;0.08;logistic;0.8007744
30;312;0.081;0.08;logistic;0.8007744
31;355;0.086;0.59;logistic;0.47118098
32;355;0.086;0.59;logistic;0.47118098
33;355;0.086;0.59;logistic;0.47118098
34;355;0.086;0.59;logistic;0.47118098
35;355;0.086;0.59;logistic;0.47118098
36;355;0.086;0.59;logistic;0.47118098
37;355;0.086;0.59;logistic;0.47118098
38;355;0.086;0.59;logistic;0.47118098
39;355;0.086;0.59;logistic;0.47118098
40;355;0.086;0.59;logistic;0.47118098
41;355;0.086;0.59;logistic;0.47118098
42;355;0.086;0.59;logistic;0.47118098
43;355;0.086;0.59;logistic;0.47118098
44;355;0.086;0.59;logistic;0.47118098
45;355;0.086;0.59;logistic;0.47118098
46;355;0.086;0.59;logistic;0.47118098
47;355;0.086;0.59;logistic;0.47118098
48;355;0.086;0.59;logistic;0.47118098
49;355;0.086;0.59;logistic;0.47118098
50;414;0.006;0.66;logistic;0.4265426
51;470;0.011;0.74;logistic;0.41607267
52;470;0.011;0.74;logistic;0.41607267
53;470;0.011;0.74;logistic;0.41607267
54;470;0.011;0.74;logistic;0.41607267
55;401;0.041;0.77;logistic;0.415946
56;401;0.041;0.77;logistic;0.415946
57;401;0.041;0.77;logistic;0.415946
58;401;0.041;0.77;logistic;0.415946
59;374;0.026;0.775;logistic;0.393144
60;374;0.026;0.775;logistic;0.393144
61;374;0.026;0.775;logistic;0.393144
62;374;0.026;0.775;logistic;0.393144
63;374;0.026;0.775;logistic;0.393144
64;374;0.026;0.775;logistic;0.393144
65;374;0.026;0.775;logistic;0.393144
66;374;0.026;0.775;logistic;0.393144
67;374;0.026;0.775;logistic;0.393144
68;374;0.026;0.775;logistic;0.393144
69;374;0.026;0.775;logistic;0.393144
70;374;0.026;0.775;logistic;0.393144
71;374;0.026;0.775;logistic;0.393144
72;374;0.026;0.775;logistic;0.393144
73;374;0.026;0.775;logistic;0.393144
74;374;0.026;0.775;logistic;0.393144
75;374;0.026;0.775;logistic;0.393144
76;374;0.026;0.775;logistic;0.393144
77;360;0.051;0.785;logistic;0.36630648
78;360;0.051;0.785;logistic;0.36630648
79;360;0.051;0.785;logistic;0.36630648
80;360;0.051;0.785;logistic;0.36630648
81;360;0.051;0.785;logistic;0.36630648
82;360;0.051;0.785;logistic;0.36630648
83;360;0.051;0.785;logistic;0.36630648
84;360;0.051;0.785;logistic;0.36630648
85;360;0.051;0.785;logistic;0.36630648
86;360;0.051;0.785;logistic;0.36630648
87;360;0.051;0.785;logistic;0.36630648
88;360;0.051;0.785;logistic;0.36630648
89;319;0.016;0.805;logistic;0.36278334
90;319;0.016;0.805;logistic;0.36278334
91;319;0.016;0.805;logistic;0.36278334
92;319;0.016;0.805;logistic;0.36278334
93;319;0.016;0.805;logistic;0.36278334
94;319;0.016;0.805;logistic;0.36278334
95;319;0.016;0.805;logistic;0.36278334
96;319;0.016;0.805;logistic;0.36278334
97;319;0.016;0.805;logistic;0.36278334
98;319;0.016;0.805;logistic;0.36278334
99;319;0.016;0.805;logistic;0.36278334
100;319;0.016;0.805;logistic;0.36278334
101;319;0.016;0.805;logistic;0.36278334
102;319;0.016;0.805;logistic;0.36278334
103;319;0.016;0.805;logistic;0.36278334
104;319;0.016;0.805;logistic;0.36278334
105;319;0.016;0.805;logistic;0.36278334
106;319;0.016;0.805;logistic;0.36278334
107;319;0.016;0.805;logistic;0.36278334
108;319;0.016;0.805;logistic;0.36278334
109;319;0.016;0.805;logistic;0.36278334
110;319;0.016;0.805;logistic;0.36278334
111;319;0.016;0.805;logistic;0.36278334
112;319;0.016;0.805;logistic;0.36278334
113;319;0.016;0.805;logistic;0.36278334
114;319;0.016;0.805;logistic;0.36278334
115;319;0.016;0.805;logistic;0.36278334
116;319;0.016;0.805;logistic;0.36278334
117;319;0.016;0.805;logistic;0.36278334
118;319;0.016;0.805;logistic;0.36278334
119;319;0.016;0.805;logistic;0.36278334
120;319;0.016;0.805;logistic;0.36278334
121;319;0.016;0.805;logistic;0.36278334
122;319;0.016;0.805;logistic;0.36278334
123;319;0.016;0.805;logistic;0.36278334
124;319;0.016;0.805;logistic;0.36278334
125;319;0.016;0.805;logistic;0.36278334
126;319;0.016;0.805;logistic;0.36278334
127;319;0.016;0.805;logistic;0.36278334
128;319;0.016;0.805;logistic;0.36278334
129;319;0.016;0.805;logistic;0.36278334
130;319;0.016;0.805;logistic;0.36278334
131;319;0.016;0.805;logistic;0.36278334
132;319;0.016;0.805;logistic;0.36278334
133;319;0.016;0.805;logistic;0.36278334
134;319;0.016;0.805;logistic;0.36278334
135;319;0.016;0.805;logistic;0.36278334
136;319;0.016;0.805;logistic;0.36278334
137;319;0.016;0.805;logistic;0.36278334
138;319;0.016;0.805;logistic;0.36278334
139;319;0.016;0.805;logistic;0.36278334
140;319;0.016;0.805;logistic;0.36278334
141;319;0.016;0.805;logistic;0.36278334
142;319;0.016;0.805;logistic;0.36278334
143;319;0.016;0.805;logistic;0.36278334
144;319;0.016;0.805;logistic;0.36278334
145;319;0.016;0.805;logistic;0.36278334
146;319;0.016;0.805;logistic;0.36278334
147;319;0.016;0.805;logistic;0.36278334
148;319;0.016;0.805;logistic;0.36278334
149;319;0.016;0.805;logistic;0.36278334
150;319;0.016;0.805;logistic;0.36278334
151;319;0.016;0.805;logistic;0.36278334
152;319;0.016;0.805;logistic;0.36278334
153;319;0.016;0.805;logistic;0.36278334
154;319;0.016;0.805;logistic;0.36278334
155;319;0.016;0.805;logistic;0.36278334
156;319;0.016;0.805;logistic;0.36278334
157;319;0.016;0.805;logistic;0.36278334
158;319;0.016;0.805;logistic;0.36278334
159;319;0.016;0.805;logistic;0.36278334
160;319;0.016;0.805;logistic;0.36278334
161;319;0.016;0.805;logistic;0.36278334
162;319;0.016;0.805;logistic;0.36278334
163;319;0.016;0.805;logistic;0.36278334
164;319;0.016;0.805;logistic;0.36278334
165;319;0.016;0.805;logistic;0.36278334
166;319;0.016;0.805;logistic;0.36278334
167;319;0.016;0.805;logistic;0.36278334
168;319;0.016;0.805;logistic;0.36278334
169;319;0.016;0.805;logistic;0.36278334
170;319;0.016;0.805;logistic;0.36278334
171;319;0.016;0.805;logistic;0.36278334
172;319;0.016;0.805;logistic;0.36278334
173;319;0.016;0.805;logistic;0.36278334
174;319;0.016;0.805;logistic;0.36278334
175;319;0.016;0.805;logistic;0.36278334
176;319;0.016;0.805;logistic;0.36278334
177;319;0.016;0.805;logistic;0.36278334
178;319;0.016;0.805;logistic;0.36278334
179;319;0.016;0.805;logistic;0.36278334
180;319;0.016;0.805;logistic;0.36278334
181;319;0.016;0.805;logistic;0.36278334
182;319;0.016;0.805;logistic;0.36278334
183;319;0.016;0.805;logistic;0.36278334
184;319;0.016;0.805;logistic;0.36278334
185;319;0.016;0.805;logistic;0.36278334
186;319;0.016;0.805;logistic;0.36278334
187;319;0.016;0.805;logistic;0.36278334
188;319;0.016;0.805;logistic;0.36278334
189;319;0.016;0.805;logistic;0.36278334
190;319;0.016;0.805;logistic;0.36278334
191;319;0.016;0.805;logistic;0.36278334
