;Hidden Layers;Alpha;Activation;Fitness
0;175;0.05;tanh;0.26543191166101
1;305;0.28;logistic;0.2632332693049535
2;305;0.28;logistic;0.2632332693049535
3;304;0.35;logistic;0.2563139590750645
4;304;0.35;logistic;0.2563139590750645
5;304;0.35;logistic;0.2563139590750645
6;304;0.35;logistic;0.2563139590750645
7;350;0.24;logistic;0.2535180263545779
8;350;0.24;logistic;0.2535180263545779
9;350;0.24;logistic;0.2535180263545779
10;350;0.24;logistic;0.2535180263545779
11;225;0.16;logistic;0.24942794493947956
12;225;0.16;logistic;0.24942794493947956
13;225;0.16;logistic;0.24942794493947956
14;225;0.16;logistic;0.24942794493947956
15;225;0.16;logistic;0.24942794493947956
16;225;0.16;logistic;0.24942794493947956
17;225;0.16;logistic;0.24942794493947956
18;225;0.16;logistic;0.24942794493947956
19;225;0.16;logistic;0.24942794493947956
20;225;0.16;logistic;0.24942794493947956
21;225;0.16;logistic;0.24942794493947956
22;225;0.16;logistic;0.24942794493947956
23;225;0.16;logistic;0.24942794493947956
24;225;0.16;logistic;0.24942794493947956
25;225;0.16;logistic;0.24942794493947956
26;225;0.16;logistic;0.24942794493947956
27;225;0.16;logistic;0.24942794493947956
28;225;0.16;logistic;0.24942794493947956
29;225;0.16;logistic;0.24942794493947956
30;225;0.16;logistic;0.24942794493947956
31;225;0.16;logistic;0.24942794493947956
32;225;0.16;logistic;0.24942794493947956
33;225;0.16;logistic;0.24942794493947956
34;225;0.16;logistic;0.24942794493947956
35;225;0.16;logistic;0.24942794493947956
36;225;0.16;logistic;0.24942794493947956
37;225;0.16;logistic;0.24942794493947956
38;225;0.16;logistic;0.24942794493947956
39;225;0.16;logistic;0.24942794493947956
40;225;0.16;logistic;0.24942794493947956
41;225;0.16;logistic;0.24942794493947956
42;225;0.16;logistic;0.24942794493947956
43;225;0.16;logistic;0.24942794493947956
44;225;0.16;logistic;0.24942794493947956
45;225;0.16;logistic;0.24942794493947956
46;331;0.03;logistic;0.24293836515593398
47;331;0.03;logistic;0.24293836515593398
48;331;0.03;logistic;0.24293836515593398
49;331;0.03;logistic;0.24293836515593398
50;331;0.03;logistic;0.24293836515593398
51;331;0.03;logistic;0.24293836515593398
52;331;0.03;logistic;0.24293836515593398
53;331;0.03;logistic;0.24293836515593398
54;331;0.03;logistic;0.24293836515593398
55;259;0.06;logistic;0.24285220268217078
56;259;0.06;logistic;0.24285220268217078
57;259;0.06;logistic;0.24285220268217078
58;259;0.06;logistic;0.24285220268217078
59;259;0.06;logistic;0.24285220268217078
60;259;0.06;logistic;0.24285220268217078
61;259;0.06;logistic;0.24285220268217078
62;259;0.06;logistic;0.24285220268217078
63;259;0.06;logistic;0.24285220268217078
64;259;0.06;logistic;0.24285220268217078
65;259;0.06;logistic;0.24285220268217078
66;259;0.06;logistic;0.24285220268217078
67;259;0.06;logistic;0.24285220268217078
68;259;0.06;logistic;0.24285220268217078
69;259;0.06;logistic;0.24285220268217078
70;259;0.06;logistic;0.24285220268217078
71;259;0.06;logistic;0.24285220268217078
72;259;0.06;logistic;0.24285220268217078
73;259;0.06;logistic;0.24285220268217078
74;259;0.06;logistic;0.24285220268217078
75;259;0.06;logistic;0.24285220268217078
76;259;0.06;logistic;0.24285220268217078
77;259;0.06;logistic;0.24285220268217078
78;259;0.06;logistic;0.24285220268217078
79;259;0.06;logistic;0.24285220268217078
80;259;0.06;logistic;0.24285220268217078
81;259;0.06;logistic;0.24285220268217078
82;259;0.06;logistic;0.24285220268217078
83;259;0.06;logistic;0.24285220268217078
84;259;0.06;logistic;0.24285220268217078
85;259;0.06;logistic;0.24285220268217078
86;259;0.06;logistic;0.24285220268217078
87;259;0.06;logistic;0.24285220268217078
88;259;0.06;logistic;0.24285220268217078
89;259;0.06;logistic;0.24285220268217078
90;259;0.06;logistic;0.24285220268217078
91;259;0.06;logistic;0.24285220268217078
92;259;0.06;logistic;0.24285220268217078
93;259;0.06;logistic;0.24285220268217078
94;259;0.06;logistic;0.24285220268217078
95;259;0.06;logistic;0.24285220268217078
96;259;0.06;logistic;0.24285220268217078
97;259;0.06;logistic;0.24285220268217078
98;259;0.06;logistic;0.24285220268217078
99;259;0.06;logistic;0.24285220268217078
100;259;0.06;logistic;0.24285220268217078
101;259;0.06;logistic;0.24285220268217078
102;259;0.06;logistic;0.24285220268217078
103;259;0.06;logistic;0.24285220268217078
104;259;0.06;logistic;0.24285220268217078
105;259;0.06;logistic;0.24285220268217078
106;259;0.06;logistic;0.24285220268217078
107;259;0.06;logistic;0.24285220268217078
108;259;0.06;logistic;0.24285220268217078
109;259;0.06;logistic;0.24285220268217078
110;259;0.06;logistic;0.24285220268217078
111;259;0.06;logistic;0.24285220268217078
112;259;0.06;logistic;0.24285220268217078
113;259;0.06;logistic;0.24285220268217078
114;259;0.06;logistic;0.24285220268217078
115;259;0.06;logistic;0.24285220268217078
116;259;0.06;logistic;0.24285220268217078
117;259;0.06;logistic;0.24285220268217078
118;259;0.06;logistic;0.24285220268217078
119;259;0.06;logistic;0.24285220268217078
120;259;0.06;logistic;0.24285220268217078
121;259;0.06;logistic;0.24285220268217078
122;259;0.06;logistic;0.24285220268217078
123;259;0.06;logistic;0.24285220268217078
124;259;0.06;logistic;0.24285220268217078
125;259;0.06;logistic;0.24285220268217078
126;259;0.06;logistic;0.24285220268217078
127;259;0.06;logistic;0.24285220268217078
128;259;0.06;logistic;0.24285220268217078
129;259;0.06;logistic;0.24285220268217078
130;259;0.06;logistic;0.24285220268217078
131;259;0.06;logistic;0.24285220268217078
132;259;0.06;logistic;0.24285220268217078
133;259;0.06;logistic;0.24285220268217078
134;259;0.06;logistic;0.24285220268217078
135;259;0.06;logistic;0.24285220268217078
136;259;0.06;logistic;0.24285220268217078
137;259;0.06;logistic;0.24285220268217078
138;259;0.06;logistic;0.24285220268217078
139;259;0.06;logistic;0.24285220268217078
140;259;0.06;logistic;0.24285220268217078
141;259;0.06;logistic;0.24285220268217078
142;259;0.06;logistic;0.24285220268217078
143;259;0.06;logistic;0.24285220268217078
144;259;0.06;logistic;0.24285220268217078
145;259;0.06;logistic;0.24285220268217078
146;259;0.06;logistic;0.24285220268217078
147;259;0.06;logistic;0.24285220268217078
148;259;0.06;logistic;0.24285220268217078
149;259;0.06;logistic;0.24285220268217078
150;259;0.06;logistic;0.24285220268217078
151;259;0.06;logistic;0.24285220268217078
152;259;0.06;logistic;0.24285220268217078
153;259;0.06;logistic;0.24285220268217078
154;259;0.06;logistic;0.24285220268217078
155;259;0.06;logistic;0.24285220268217078
156;259;0.06;logistic;0.24285220268217078
157;259;0.06;logistic;0.24285220268217078
158;259;0.06;logistic;0.24285220268217078
159;259;0.06;logistic;0.24285220268217078
160;259;0.06;logistic;0.24285220268217078
161;259;0.06;logistic;0.24285220268217078
162;259;0.06;logistic;0.24285220268217078
163;259;0.06;logistic;0.24285220268217078
164;259;0.06;logistic;0.24285220268217078
165;259;0.06;logistic;0.24285220268217078
166;259;0.06;logistic;0.24285220268217078
167;259;0.06;logistic;0.24285220268217078
168;259;0.06;logistic;0.24285220268217078
169;259;0.06;logistic;0.24285220268217078
170;259;0.06;logistic;0.24285220268217078
171;259;0.06;logistic;0.24285220268217078
172;259;0.06;logistic;0.24285220268217078
173;259;0.06;logistic;0.24285220268217078
174;259;0.06;logistic;0.24285220268217078
175;259;0.06;logistic;0.24285220268217078
176;259;0.06;logistic;0.24285220268217078
177;259;0.06;logistic;0.24285220268217078
178;259;0.06;logistic;0.24285220268217078
179;259;0.06;logistic;0.24285220268217078
180;259;0.06;logistic;0.24285220268217078
181;259;0.06;logistic;0.24285220268217078
182;259;0.06;logistic;0.24285220268217078
183;259;0.06;logistic;0.24285220268217078
184;259;0.06;logistic;0.24285220268217078
185;259;0.06;logistic;0.24285220268217078
186;259;0.06;logistic;0.24285220268217078
187;259;0.06;logistic;0.24285220268217078
188;259;0.06;logistic;0.24285220268217078
189;259;0.06;logistic;0.24285220268217078
190;259;0.06;logistic;0.24285220268217078
191;259;0.06;logistic;0.24285220268217078
192;259;0.06;logistic;0.24285220268217078
193;259;0.06;logistic;0.24285220268217078
194;259;0.06;logistic;0.24285220268217078
195;259;0.06;logistic;0.24285220268217078
196;259;0.06;logistic;0.24285220268217078
197;259;0.06;logistic;0.24285220268217078
198;259;0.06;logistic;0.24285220268217078
199;259;0.06;logistic;0.24285220268217078
200;259;0.06;logistic;0.24285220268217078
201;259;0.06;logistic;0.24285220268217078
202;259;0.06;logistic;0.24285220268217078
203;259;0.06;logistic;0.24285220268217078
204;259;0.06;logistic;0.24285220268217078
205;259;0.06;logistic;0.24285220268217078
206;259;0.06;logistic;0.24285220268217078
207;259;0.06;logistic;0.24285220268217078
208;259;0.06;logistic;0.24285220268217078
209;259;0.06;logistic;0.24285220268217078
210;259;0.06;logistic;0.24285220268217078
211;259;0.06;logistic;0.24285220268217078
212;259;0.06;logistic;0.24285220268217078
213;259;0.06;logistic;0.24285220268217078
214;259;0.06;logistic;0.24285220268217078
215;259;0.06;logistic;0.24285220268217078
216;259;0.06;logistic;0.24285220268217078
217;259;0.06;logistic;0.24285220268217078
218;259;0.06;logistic;0.24285220268217078
219;259;0.06;logistic;0.24285220268217078
220;259;0.06;logistic;0.24285220268217078
221;259;0.06;logistic;0.24285220268217078
222;259;0.06;logistic;0.24285220268217078
223;259;0.06;logistic;0.24285220268217078
224;259;0.06;logistic;0.24285220268217078
225;259;0.06;logistic;0.24285220268217078
