;N_estimators;Max_depth;Booster;Lambda;Alpha;Fitness
0;129;197;gblinear;0.58;0.14;0.6746136
1;266;215;gbtree;0.645;0.435;0.44664764
2;266;215;gbtree;0.645;0.435;0.44664764
3;266;215;gbtree;0.645;0.435;0.44664764
4;266;215;gbtree;0.645;0.435;0.44664764
5;266;215;gbtree;0.645;0.435;0.44664764
6;266;215;gbtree;0.645;0.435;0.44664764
7;266;215;gbtree;0.645;0.435;0.44664764
8;266;215;gbtree;0.645;0.435;0.44664764
9;21;161;gbtree;0.43;0.245;0.4465726
10;21;161;gbtree;0.43;0.245;0.4465726
11;21;161;gbtree;0.43;0.245;0.4465726
12;151;387;gbtree;0.425;0.24;0.43990278
13;151;387;gbtree;0.425;0.24;0.43990278
14;151;387;gbtree;0.425;0.24;0.43990278
15;151;387;gbtree;0.425;0.24;0.43990278
16;151;387;gbtree;0.425;0.24;0.43990278
17;151;387;gbtree;0.425;0.24;0.43990278
18;151;387;gbtree;0.425;0.24;0.43990278
19;151;387;gbtree;0.425;0.24;0.43990278
20;151;387;gbtree;0.425;0.24;0.43990278
21;151;387;gbtree;0.425;0.24;0.43990278
22;151;387;gbtree;0.425;0.24;0.43990278
23;151;387;gbtree;0.425;0.24;0.43990278
24;151;387;gbtree;0.425;0.24;0.43990278
25;151;387;gbtree;0.425;0.24;0.43990278
26;151;387;gbtree;0.425;0.24;0.43990278
27;151;387;gbtree;0.425;0.24;0.43990278
28;151;387;gbtree;0.425;0.24;0.43990278
29;151;387;gbtree;0.425;0.24;0.43990278
30;151;387;gbtree;0.425;0.24;0.43990278
31;165;98;gbtree;0.455;0.185;0.4377304
32;165;98;gbtree;0.455;0.185;0.4377304
33;165;98;gbtree;0.455;0.185;0.4377304
34;165;98;gbtree;0.455;0.185;0.4377304
35;165;98;gbtree;0.455;0.185;0.4377304
36;165;98;gbtree;0.455;0.185;0.4377304
37;165;98;gbtree;0.455;0.185;0.4377304
38;165;98;gbtree;0.455;0.185;0.4377304
39;165;98;gbtree;0.455;0.185;0.4377304
40;165;98;gbtree;0.455;0.185;0.4377304
41;165;98;gbtree;0.455;0.185;0.4377304
42;165;98;gbtree;0.455;0.185;0.4377304
43;165;98;gbtree;0.455;0.185;0.4377304
44;165;98;gbtree;0.455;0.185;0.4377304
45;165;98;gbtree;0.455;0.185;0.4377304
46;165;98;gbtree;0.455;0.185;0.4377304
47;165;98;gbtree;0.455;0.185;0.4377304
48;165;98;gbtree;0.455;0.185;0.4377304
49;165;98;gbtree;0.455;0.185;0.4377304
50;165;98;gbtree;0.455;0.185;0.4377304
51;165;98;gbtree;0.455;0.185;0.4377304
52;165;98;gbtree;0.455;0.185;0.4377304
53;165;98;gbtree;0.455;0.185;0.4377304
54;165;98;gbtree;0.455;0.185;0.4377304
55;165;98;gbtree;0.455;0.185;0.4377304
56;165;98;gbtree;0.455;0.185;0.4377304
57;165;98;gbtree;0.455;0.185;0.4377304
58;165;98;gbtree;0.455;0.185;0.4377304
59;165;98;gbtree;0.455;0.185;0.4377304
60;165;98;gbtree;0.455;0.185;0.4377304
61;165;98;gbtree;0.455;0.185;0.4377304
62;165;98;gbtree;0.455;0.185;0.4377304
63;165;98;gbtree;0.455;0.185;0.4377304
64;165;98;gbtree;0.455;0.185;0.4377304
65;165;98;gbtree;0.455;0.185;0.4377304
66;165;98;gbtree;0.455;0.185;0.4377304
67;165;98;gbtree;0.455;0.185;0.4377304
68;165;98;gbtree;0.455;0.185;0.4377304
69;165;98;gbtree;0.455;0.185;0.4377304
70;165;98;gbtree;0.455;0.185;0.4377304
71;165;98;gbtree;0.455;0.185;0.4377304
72;165;98;gbtree;0.455;0.185;0.4377304
73;165;98;gbtree;0.455;0.185;0.4377304
74;165;98;gbtree;0.455;0.185;0.4377304
75;165;98;gbtree;0.455;0.185;0.4377304
76;165;98;gbtree;0.455;0.185;0.4377304
77;165;98;gbtree;0.455;0.185;0.4377304
78;165;98;gbtree;0.455;0.185;0.4377304
79;165;98;gbtree;0.455;0.185;0.4377304
80;165;98;gbtree;0.455;0.185;0.4377304
81;165;98;gbtree;0.455;0.185;0.4377304
82;165;98;gbtree;0.455;0.185;0.4377304
83;165;98;gbtree;0.455;0.185;0.4377304
84;165;98;gbtree;0.455;0.185;0.4377304
85;57;10;gbtree;0.305;0.375;0.43573636
86;57;10;gbtree;0.305;0.375;0.43573636
87;57;10;gbtree;0.305;0.375;0.43573636
88;57;10;gbtree;0.305;0.375;0.43573636
89;57;10;gbtree;0.305;0.375;0.43573636
90;57;10;gbtree;0.305;0.375;0.43573636
91;57;10;gbtree;0.305;0.375;0.43573636
92;57;10;gbtree;0.305;0.375;0.43573636
93;57;10;gbtree;0.305;0.375;0.43573636
94;57;10;gbtree;0.305;0.375;0.43573636
95;57;10;gbtree;0.305;0.375;0.43573636
96;57;10;gbtree;0.305;0.375;0.43573636
97;57;10;gbtree;0.305;0.375;0.43573636
98;57;10;gbtree;0.305;0.375;0.43573636
99;57;10;gbtree;0.305;0.375;0.43573636
100;57;10;gbtree;0.305;0.375;0.43573636
101;57;10;gbtree;0.305;0.375;0.43573636
102;57;10;gbtree;0.305;0.375;0.43573636
103;57;10;gbtree;0.305;0.375;0.43573636
104;57;10;gbtree;0.305;0.375;0.43573636
105;57;10;gbtree;0.305;0.375;0.43573636
106;57;10;gbtree;0.305;0.375;0.43573636
107;57;10;gbtree;0.305;0.375;0.43573636
108;57;10;gbtree;0.305;0.375;0.43573636
109;57;10;gbtree;0.305;0.375;0.43573636
110;57;10;gbtree;0.305;0.375;0.43573636
111;57;10;gbtree;0.305;0.375;0.43573636
112;57;10;gbtree;0.305;0.375;0.43573636
113;57;10;gbtree;0.305;0.375;0.43573636
114;57;10;gbtree;0.305;0.375;0.43573636
115;57;10;gbtree;0.305;0.375;0.43573636
116;57;10;gbtree;0.305;0.375;0.43573636
117;57;10;gbtree;0.305;0.375;0.43573636
118;57;10;gbtree;0.305;0.375;0.43573636
119;57;10;gbtree;0.305;0.375;0.43573636
120;57;10;gbtree;0.305;0.375;0.43573636
121;57;10;gbtree;0.305;0.375;0.43573636
122;57;10;gbtree;0.305;0.375;0.43573636
123;57;10;gbtree;0.305;0.375;0.43573636
124;57;10;gbtree;0.305;0.375;0.43573636
125;57;10;gbtree;0.305;0.375;0.43573636
126;57;10;gbtree;0.305;0.375;0.43573636
