DATA;ESN;MLP;RF;XGBoost;WSB
2023-11-30;3871.6368558960025;3770.6621276680153;3202.203193693113;3139.2795;3871.6368558960025
2023-12-31;3540.7186522820602;3715.069871328406;3357.4192538786774;3173.5542;3533.7697433476674
2024-01-31;3049.51733555056;3182.516838830642;2551.6893192078323;2970.789;3043.548146729658
2024-02-29;3159.067504921321;3516.225523295057;3017.645129127548;2725.0894;3142.983471598194
2024-03-31;3694.6544673845306;3625.5873006598094;3232.18685794868;3297.7205;3623.9897378277
2024-04-30;3290.70428282997;3674.750119078167;3256.9796131562534;3393.9111;3299.4845301464466
2024-05-31;3588.347473287791;3877.0631290449173;3356.043906619839;3368.1182;3519.725103385609
2024-06-30;2549.1278451371254;3213.8322406754837;2905.6613127966775;2780.4548;2705.1290239454765
2024-07-31;2335.875825047799;2908.3792882281027;2128.5535065443983;2810.3455;2479.773567648594
2024-08-31;3784.831259953094;3586.7171889209826;3404.2185691134623;3405.7026;3566.956549709018
2024-09-30;3013.54029020724;3467.8616272800327;3311.746924126838;3237.6265;3211.542301078644
2024-10-31;3574.138979827779;3568.805007388299;3316.420274221089;3072.4517;3501.008279175393
