DATA;ESN;MLP;RF;XGBoost;WSB-GLOBAL
2023-11-30;32416.237818064084;33555.340752858494;33219.007672801454;30427.854;32416.237818064084
2023-12-31;28894.13896862895;35287.69817654331;26848.903973263805;27271.105;28742.82286478012
2024-01-31;7238.985826641439;25627.930619304683;15203.344269700254;13945.291;8449.315500444134
2024-02-29;21932.962244085335;29880.640984822152;20158.24736669782;18700.426;21313.315061175406
2024-03-31;27956.93900349423;32184.954439243404;28822.379248954618;29364.791;28332.031992076852
2024-04-30;25779.87479350405;31301.299396818227;32450.043703311636;30158.016;28057.462442371147
2024-05-31;18288.46825431977;32025.25696022237;18964.874273999583;15685.579;17811.663547692235
2024-06-30;13199.152276524139;24991.146023062563;19177.338463308635;16821.318;16651.55479939219
2024-07-31;13182.789520097442;22234.95246209458;15004.401363407893;15902.318;14681.36573116011
2024-08-31;20726.097312247763;28364.180203850814;17463.57618390451;17584.6;18348.605426245755
2024-09-30;14689.739214823378;25118.76836363315;18536.8148024052;17311.982;17358.33311229162
2024-10-31;19292.39029765874;27446.191824197824;20757.86524519087;20295.11;20412.33316392111
