DATA;ESN;MLP;RF;XGBoost;WSB-GLOBAL
2023-11-30;12496.702226447578;15603.578962034753;12171.424980531563;13524.668;12496.702226447578
2023-12-31;13627.371335555415;16000.20415170465;12447.202620797045;12809.836;13598.487868360093
2024-01-31;7526.708058426307;13704.418031858277;8940.243967849974;9412.134;7622.103034846145
2024-02-29;9802.599562514573;13689.564879630487;11620.63696315047;12253.857;10015.246172801555
2024-03-31;13594.281512868674;14333.321086217862;13953.420797439767;14562.649;13679.763756852732
2024-04-30;14402.025202937357;15659.524969174572;14377.40123826038;13584.055;14398.464988044478
2024-05-31;12580.258822636173;15441.31486228;12539.691976642587;11940.645;12521.253113878061
2024-06-30;7329.20825492478;11540.977802848705;9834.489658957207;8684.624;7836.31896579101
2024-07-31;7328.129450348018;10979.827029938477;7360.955768412437;8901.004;7691.98782942781
2024-08-31;11522.454340635926;13879.503713038637;12993.203146247462;10681.86;11905.216717296329
2024-09-30;9485.194141818134;13232.574542392207;12702.276960928884;13385.38;10590.904741226519
2024-10-31;13487.755695913898;14913.3457531496;15846.853006233056;16212.639;14238.145232037918
