DATA;ESN;MLP;RF;XGBoost;WSB
2023-11-30;19254.14680071344;22534.730272584588;19376.251263622242;21674.223;19254.14680071344
2023-12-31;24103.370190811842;24551.067505339957;20717.85407153629;19205.045;23967.133736317348
2024-01-31;14240.51587095037;19052.267259826334;15533.07557224094;15506.591;14446.43970699617
2024-02-29;16181.796493588285;20937.223254501696;18603.82597597586;18085.441;16704.00460987182
2024-03-31;23133.97667572051;21328.10057619446;20230.322788440582;22359.54;22718.63924857804
2024-04-30;21292.915722737478;22491.62410563049;22723.972388893762;23750.137;21822.03721236234
2024-05-31;13356.413342374612;19959.80144522864;15320.8329012692;15938.374;14454.117943650484
2024-06-30;11290.662111376327;16161.72746393514;13054.928850310254;11303.069;11624.305942014109
2024-07-31;8484.027432116021;13664.931357197902;9720.39584871308;9526.152;8973.034155176492
2024-08-31;15546.098844031487;17945.825080961975;12957.697041960257;13268.083;14371.122405007944
2024-09-30;14265.701093635842;17880.346394349137;16593.635888598084;15166.914;15565.141385981253
2024-10-31;18304.747068249435;20361.293969341732;21797.088681314377;23473.7;20760.966321127587
