DATA;ESN;MLP;RF;XGBoost;WSB-LOCAL;WSB-GLOBAL
2023-11-30;6167.030184491567;6742.943336582888;6103.293873147545;5655.2534;6167.030184491567;6167.030184491567
2023-12-31;5597.940493084793;6433.44889786994;5639.55180616941;5604.033;5599.916236891479;5599.916236891479
2024-01-31;4181.0911217024295;5741.179635891019;4078.212923571414;4202.529;4174.345142520611;4174.345142520611
2024-02-29;4835.373015444089;5886.674261455829;5217.795825922604;5128.731;4919.338746330981;4919.338746330981
2024-03-31;5625.604896912922;6242.289456600305;6092.0643700400415;6038.9116;5771.352881209498;5771.352881209498
2024-04-30;5547.626636068935;6372.939784685143;6053.5288130817235;6073.3564;5761.26043796124;5761.26043796124
2024-05-31;4127.208175896079;6242.389176638762;4662.777439494282;4839.7935;4437.374608819385;4437.374608819385
2024-06-30;3391.728504799954;4815.638940686286;4063.7150582879585;4605.6387;4095.5941334726836;4095.5941334726836
2024-07-31;3166.458566293033;4717.011214407325;3347.5456899107967;3879.1497;3638.735168291043;3638.735168291043
2024-08-31;4958.441578425972;5223.018771308341;5246.102677192915;4714.9297;5164.288401638252;5164.288401638252
2024-09-30;4092.9156651185044;5414.386789100846;5019.5277857884075;5362.5815;5166.078153666955;5166.078153666955
2024-10-31;4392.395435423786;5845.589458270443;4690.668463728771;4735.8984;4684.777900268313;4684.777900268313
