DATA;ESN;MLP;RF;XGBoost;WSB
2023-11-30;5559.407190342293;6188.974598729731;5370.827693690565;5460.9736;5559.407190342293
2023-12-31;5908.713430744703;6248.140507562364;4864.110287521686;5754.2915;5902.732667845114
2024-01-31;3968.4145329289468;5817.531131162869;4517.253440634381;4498.389;4051.9795080775048
2024-02-29;4766.1066143168355;5695.192848251333;5183.342655638763;5470.646;4896.445772578194
2024-03-31;6697.818064200224;6217.094351769868;6117.070490936338;5911.5674;6533.3748338076875
2024-04-30;5996.596201772666;6445.977194169784;5924.192688192797;5538.2676;5982.575252942835
2024-05-31;4860.658547153293;6185.802344048486;4523.09545395875;4320.5425;4724.688376685204
2024-06-30;3347.191900038073;4558.6663692855045;4462.652088055029;4102.536;3904.283337869408
2024-07-31;3097.9701952401288;4375.596570723281;3178.0576910888603;4180.429;3458.1739264705843
2024-08-31;5478.700389496853;5901.865304116251;5748.034277308388;6197.6265;5720.08484210643
2024-09-30;5128.599813053345;5870.175821926709;6276.481733972795;7191.603;5860.387308988083
2024-10-31;5072.567199677181;6092.395272192988;5725.06842202107;5564.241;5560.020482897586
