DATA;ESN;MLP;RF;XGBoost;WSB
2023-11-30;19573.139663492435;20918.82691534969;17568.203182904646;17910.56;19573.139663492435
2023-12-31;19570.516505753956;20683.257653415036;16370.053702119298;15879.842;19454.505159507153
2024-01-31;13653.384879349676;18050.861974426636;13185.563945659369;13130.23;13605.489961119441
2024-02-29;14763.979081196407;18451.15829165277;16417.067313707277;16600.512;15143.457643931757
2024-03-31;20529.59243344886;19666.677691878525;19734.8843899937;20363.906;20390.342021565746
2024-04-30;18139.160456053578;19814.95418894435;20251.136524490204;20835.102;18825.661598053946
2024-05-31;14876.712442012766;19231.14100451605;14497.226489462564;14498.301;14766.822343695625
2024-06-30;10882.750623096154;14707.806714537726;12579.902041130215;12390.545;11695.967561654617
2024-07-31;10491.616146783817;14018.479898317646;11374.87137024413;12927.437;11454.103240398514
2024-08-31;18595.921468416396;18337.416097767815;19450.056625115314;16509.838;18511.588038812963
2024-09-30;14390.97402932704;17702.083542004035;17018.591954361833;15887.579;15885.934862722725
2024-10-31;18501.377653099626;19431.37522484154;19903.053842159672;18526.287;18755.211874548928
