DATA;ESN;MLP;RF;XGBoost;WSB
2023-11-30;30861.47500607026;32326.03547781713;27424.248961278634;30519.463;30861.47500607026
2023-12-31;32216.231522066308;33590.84993683269;26489.129888420743;22141.723;32008.560658800943
2024-01-31;21296.723729499685;28135.412655742955;24645.349038993598;23486.598;21698.387519187574
2024-02-29;20749.41381151899;28937.643387933986;24468.788180764277;24254.295;21535.29147007251
2024-03-31;34098.78939372182;31092.484516370645;29399.493646642964;27508.887;32981.135937563486
2024-04-30;27169.42618429838;31076.876300941905;29700.224912478745;31532.5;28474.984931694467
2024-05-31;27791.893596237474;31541.713810918634;27842.278581385857;27899.324;27814.783812962127
2024-06-30;11716.385064997541;22584.458857615733;17171.606193984622;14709.122;13860.709460458564
2024-07-31;11858.260238645045;20462.75334987424;11994.442315445067;12347.98;11979.305038048802
2024-08-31;18750.29630789315;24259.21418809731;15790.494591604114;18535.084;18680.06172714538
2024-09-30;18795.416413101826;24872.57094213174;21743.399564155196;21780.695;20946.88126660024
2024-10-31;23960.506161534646;27710.94964042012;28993.085168440582;31641.746;27463.806392993214
