DATA;ESN;MLP;RF;XGBoost
2023-11-30;10319.789351313766;11025.986906509408;10292.020893188943;9592.687
2023-12-31;9437.93693824207;10581.292709818166;9215.294796197057;9809.873
2024-01-31;6349.2516699416865;7569.440186895864;6482.680036909808;5018.592
2024-02-29;6166.015665287436;8445.593080346332;6515.382051210342;6181.9263
2024-03-31;8340.252909365012;8961.662946961844;10105.834451223367;9234.237
2024-04-30;8792.847720146612;9663.924972247549;9749.403444992508;9490.751
2024-05-31;6633.741568928578;8919.711949551296;8098.001376710755;8622.28
2024-06-30;4796.977695001153;7147.711975338662;5836.931729087126;5148.532
2024-07-31;4011.2128717431956;7016.387263854641;4966.825685742369;4497.635
2024-08-31;8193.554738543555;8687.483804303352;7757.721587516795;6918.3237
2024-09-30;9214.061802913235;9481.580366606693;8587.00763239355;7457.967
2024-10-31;8584.2880485329;9837.731991337481;10021.640044454787;9334.638
