DATA;ESN;MLP;RF;XGBoost
2023-11-30;6378.824994889812;8760.978121521315;6282.503157132914;6173.6
2023-12-31;6648.618382279747;8177.039798241241;7082.432952680267;7377.026
2024-01-31;3908.996475511572;4330.632411193008;3789.1233638458866;3643.3967
2024-02-29;5742.121008538744;7157.180706318797;5726.037923815447;5426.775
2024-03-31;9071.599465067755;8330.316146184196;7957.934713559147;8451.492
2024-04-30;6764.215755236643;8400.768022531733;7750.177858283455;6764.732
2024-05-31;4771.28034156425;7604.953595571943;5080.627206457549;4913.476
2024-06-30;3529.5122995335823;5716.711229392124;5003.1811702414825;7125.5503
2024-07-31;2794.3707553382465;3901.366558787758;3250.712478289868;4021.396
2024-08-31;6142.212292057841;6566.95153951375;5268.6744821230495;5694.1846
2024-09-30;4437.536235061275;6581.740072831319;5184.434380816455;4902.4624
2024-10-31;6682.14054081182;7512.423488198472;7291.996241924702;6868.973
