DATA;ESN;MLP;RF;XGBoost
2023-11-30;13653.378861336416;15525.861880066679;12841.691895605045;14002.606
2023-12-31;13838.716171804204;14655.94551054343;13148.006110795372;12884.8125
2024-01-31;9675.43752494543;10264.555308009843;10303.70404694189;9820.456
2024-02-29;9568.917550137117;12826.21530327212;12233.166036260025;13157.748
2024-03-31;15502.460857811058;14114.442881470066;13882.195445553634;14424.073
2024-04-30;13944.48802653057;14796.127826713153;15469.100987232918;14223.616
2024-05-31;11180.50986693607;14115.043985515073;11226.33619607148;11153.774
2024-06-30;7243.691409161279;10983.269608785073;10056.00536241781;11123.801
2024-07-31;7403.829516408698;8584.75922674189;7667.906561423957;7768.3604
2024-08-31;11718.403662633416;12036.06363321184;10597.22924315547;10421.0205
2024-09-30;11093.096648458959;12405.581126686342;11710.714547333933;11376.564
2024-10-31;12728.594589045566;13711.15559422733;13851.374087079645;12123.861
