DATA;ESN;MLP;RF;XGBoost
2023-11-30;19746.985464818063;22930.570404478887;16907.889224506678;14153.571
2023-12-31;22158.820711727963;23483.646596963612;19679.592889396954;15082.088
2024-01-31;10973.351745718084;11221.188468105414;15692.352016661544;12870.675
2024-02-29;17395.111271792073;19923.401154245064;15504.640227219;17353.8
2024-03-31;20248.75594168748;20629.637896452794;17223.488212975328;16433.242
2024-04-30;21797.19609255923;23611.78365626315;25042.805659781912;26871.018
2024-05-31;16914.667510987387;21897.42030574485;16988.556742555742;15929.892
2024-06-30;10009.276182624882;16559.589796105163;12801.838423946958;12477.514
2024-07-31;11543.26399188513;11740.20772136703;13498.765021820373;11625.814
2024-08-31;15961.941339621466;19656.384317762968;16293.015992321396;17082.816
2024-09-30;14552.848826893602;21326.35642998952;17188.901844742046;18031.96
2024-10-31;16101.813887974851;24016.493979479354;21732.19625401245;21712.531
