DATA;ESN;MLP;RF;XGBoost
2023-11-30;12176.015344445319;14576.236939417808;13834.842775203257;13161.051
2023-12-31;13248.209428983908;14675.302660339723;12957.761917902655;12824.667
2024-01-31;8003.466186254119;10310.812894062774;9262.811744546976;9584.823
2024-02-29;9397.894045327766;12286.154963968225;12456.832490890076;12448.675
2024-03-31;13602.404095756196;13356.68652635671;14204.059362521906;14587.022
2024-04-30;14176.760385326004;14948.338828703972;14071.775540388333;13697.731
2024-05-31;12290.658159596838;13975.385921802754;12902.793145474634;11903.604
2024-06-30;7451.276115546855;10780.840548640934;8239.64397305405;8465.644
2024-07-31;7042.451446929951;9275.07334742058;7549.54818578335;8844.81
2024-08-31;11509.112064748031;12216.999811629923;13098.977852467311;10841.408
2024-09-30;9547.771120163849;12383.150173744618;11446.409690130005;13331.322
2024-10-31;13363.762146939267;14102.186490257822;15903.400119279308;16065.7705
