DATA;ESN;MLP;RF;XGBoost
2023-11-30;18343.059408518617;22179.666543955165;19694.287005508948;20943.18
2023-12-31;23135.25093702943;23210.492518045503;19081.111048301875;19249.557
2024-01-31;14523.743560208242;15385.369625720728;16890.057459576383;15598.519
2024-02-29;15433.558916977781;19601.757970655326;18634.090611374413;17203.963
2024-03-31;22900.406939169174;20959.07845246704;19590.18807643889;22100.873
2024-04-30;20580.57344831523;22468.68967179532;22924.10619214559;23773.44
2024-05-31;12525.108422078374;19002.269958504006;15322.032975367318;16555.664
2024-06-30;11050.738053652438;15365.48298886941;13350.016015565106;11191.785
2024-07-31;7553.813707866829;12960.215187777694;9863.107312147305;9587.46
2024-08-31;15124.649630236894;17033.574399248304;14086.05985344868;13206.217
2024-09-30;14309.063334937116;18456.54235383983;15976.271469885733;15220.037
2024-10-31;18282.51924583369;19906.25079234194;22292.72057720732;23350.938
