DATA;ESN;MLP;RF;XGBoost
2023-11-30;6162.523220082069;6514.070807656026;5711.991219452235;5891.3423
2023-12-31;6076.682536903039;6314.942049716297;5818.8997086178715;5470.61
2024-01-31;4703.95380275425;4553.476812207364;4843.6129552864795;3572.6777
2024-02-29;4526.478630020926;5489.0822709569475;5253.704149255397;5645.998
2024-03-31;6581.115515449631;6091.84401717573;6250.847196135059;6078.714
2024-04-30;5678.209136889791;6182.121337513612;6458.394006163808;7032.5117
2024-05-31;5672.983843663293;6049.345386585943;6220.876576339703;5963.6704
2024-06-30;3403.9284477574147;4671.324088488049;3405.2243907583043;3191.3567
2024-07-31;3286.5507983357766;4291.4805234904015;3276.2732513005176;4346.758
2024-08-31;6559.938728107986;5951.045254044238;5600.604569054347;5887.8223
2024-09-30;5100.36310679076;6007.825593233878;6001.51320059599;6644.492
2024-10-31;5897.176352135615;6121.83688902983;6423.6917796484795;6122.592
