DATA;ESN;MLP;RF;XGBoost
2023-11-30;16146.010312192;19984.431381317365;14373.598111608095;13485.425
2023-12-31;15168.935379267632;18813.219688762965;15031.212634645377;16008.248
2024-01-31;9492.595936585501;8381.334558349661;9564.464369793632;9643.479
2024-02-29;12188.100358925625;15999.24684048418;10482.686298136701;10889.746
2024-03-31;16760.85819542905;17754.22910464178;15862.436914112943;15145.761
2024-04-30;16144.23642542683;18887.885482369205;16721.28686150052;16913.59
2024-05-31;14289.704131449353;18258.037438890722;14732.667116545459;16303.816
2024-06-30;13712.743317759343;14846.908751167452;12988.028951335617;14560.662
2024-07-31;13948.160045603761;17160.809312904596;13179.15029599327;13549.522
2024-08-31;20916.668295095555;20320.66841231652;18803.494265698806;19051.018
2024-09-30;18524.244995226585;20133.8620962962;15356.494989539297;16561.725
2024-10-31;19253.83239034343;21251.803141238408;18740.269691350495;17005.342
