DATA;ESN;MLP;RF;XGBoost
2023-11-30;28612.00575380352;29171.631365977053;24693.799494841016;25442.633
2023-12-31;26787.536419547647;29873.162459682993;22686.897322840956;22749.861
2024-01-31;16305.873932308421;18400.427604151475;16567.18722966578;16771.643
2024-02-29;16459.270343341002;23273.83456699123;20099.895860169538;22789.613
2024-03-31;24546.288647365378;24856.302352564053;25324.174649792785;22534.564
2024-04-30;24225.428854455444;26875.771045226396;27461.14895985557;28200.973
2024-05-31;11382.853597042098;21974.75008778301;19519.026239849332;20716.771
2024-06-30;12747.669232297678;18381.04040702019;14922.369528361807;17184.754
2024-07-31;9088.03565886573;14054.531166680474;11785.126631892932;11694.163
2024-08-31;18935.91353360865;20766.6008927071;16895.002165955902;16938.156
2024-09-30;14678.232777254245;20576.74746438602;15323.031796049308;15164.368
2024-10-31;20535.15653137935;24145.53738982987;23156.13702965795;19922.299
