DATA;ESN;MLP;RF;XGBoost
2023-11-30;5983.799404280169;6534.335601413621;6001.047779362524;5654.9326
2023-12-31;5502.84877007323;6233.177316923432;5483.18502070715;5627.9976
2024-01-31;4361.433628202596;4890.826910220327;4263.259338646773;4202.578
2024-02-29;4811.971624050463;5685.225534686296;5109.51276709175;5214.4097
2024-03-31;5699.8517605419265;5978.705028206121;5937.898971853633;6136.9604
2024-04-30;5515.357082684587;6242.563716225187;5783.454572985287;6133.8506
2024-05-31;4050.4442581281037;5828.56593034223;4714.341833409256;4763.5845
2024-06-30;3445.4107199443138;4651.774414389626;4119.590427694836;4614.137
2024-07-31;2835.600289730326;4002.2370034008463;3417.926835734568;3863.6748
2024-08-31;4934.777456912313;5135.6644798706175;5316.237380084907;4802.0874
2024-09-30;4213.984261152151;5223.426063511056;4928.987995875373;5286.493
2024-10-31;4379.521712385824;5686.481266558841;4812.241482143782;4498.233
