DATA;ESN;MLP;RF;XGBoost
2023-11-30;19185.82925127991;20646.69435820171;17878.31135602974;18130.066
2023-12-31;19175.24861133364;20178.482876809154;16873.57866486147;15823.223
2024-01-31;14081.354299216011;15582.531545595988;13059.757526618003;13044.449
2024-02-29;14439.715642437544;17557.371613546307;16944.20367467393;16853.977
2024-03-31;20677.770231171467;19074.99765867613;18811.78772564486;20137.459
2024-04-30;17827.372487925033;19811.346004698447;20603.205757886743;20838.658
2024-05-31;14404.584619261102;17923.627501361476;15250.870295626413;14227.877
2024-06-30;11256.561064304657;14492.182976889271;11678.321721245495;12192.879
2024-07-31;9977.082929209824;14557.304451286507;10672.107697988708;12995.496
2024-08-31;18597.65634973387;18476.21953322756;17300.73769082711;16459.398
2024-09-30;14421.260251469326;18012.491983271993;17525.640023325086;15753.267
2024-10-31;18586.894054920216;19034.33704576435;20133.174624111056;18789.934
