;ESN RRMSE;MLP RRMSE;RF RRMSE;XGBoost RRMSE;WSB RRMSE;ESN MAPE;MLP MAPE;RF MAPE;XGBoost MAPE;WSB MAPE
ASSIS CHATEAUBRIAND;0.45557459237988956;0.5636159157225943;0.5317339664238153;0.40938044701270393;0.4080361448539248;0.48022425827596776;0.7724245560782345;0.7445915532250718;0.5419632160871269;0.4633810552356989
ASTORGA;0.2283030578154215;0.19258069666300792;0.19386660430681493;0.12709109399916704;0.19199354041666655;0.18828096133792868;0.18353374622895322;0.1685229613082964;0.1172259815792585;0.1619059854038232
BARRACÃO;0.2196395877572728;0.20162113569621723;0.23785502123287944;0.17988350566294195;0.21170205361596686;0.1823491815692284;0.18826884606515348;0.1943221292244953;0.15258679837925662;0.17559599079503907
CAMPO LARGO;0.27624091181296456;0.34792391853945603;0.31567002527820853;0.35927612782618346;0.27187914596446755;0.31938313597710805;0.44798559348169587;0.40275011009011036;0.4452612976724964;0.3224535495350866
CAPANEMA;0.4086045245621667;0.5168127623035648;0.46700326368494505;0.45328082021217453;0.3928998357875549;0.48992404273755347;0.6780080559878773;0.6476271856031698;0.5841143629899986;0.4955288283419384
CASCAVEL;0.2910194838820776;0.35644991950939653;0.3327011534974984;0.37897654080250576;0.2832678251619074;0.29518888703647095;0.40295733976725606;0.40560324565226913;0.429561550855508;0.3042745470850628
CORONEL VIVIDA;0.2304791953362795;0.21470050677365332;0.2569036200482061;0.22395317173069504;0.21978948377961272;0.17971456241596406;0.21883012629578702;0.20414299309414927;0.16947751943651268;0.171943833945448
CURITIBA;0.2870938498725542;0.5456974025072073;0.21159339347497996;0.25767335534960384;0.2472503493186591;0.2633396986514657;0.6326721486687455;0.2172482373134714;0.2812249415853405;0.23544393438208464
FOZ DO IGUAÇU;0.25641390468110353;0.6271222013416755;0.34879749145857436;0.31758443164468914;0.24669932441561748;0.23007922319192634;0.6323425750483062;0.30701555072946213;0.2594925960269375;0.22499400617848117
GOIOERÊ;0.4458859289684933;0.6546629357523764;0.5253821007462263;0.5368285655069724;0.45577273669395885;0.35687412378211264;0.6779137997824239;0.5073682587849107;0.5021244089808511;0.38667928380268973
IRATI;0.29074229968622944;0.2926490820828416;0.3189162466740568;0.29525418526556496;0.2728953678323558;0.2639119257434727;0.2960063234134928;0.3170467466660764;0.29270388128993713;0.23720324591982575
IVAIPORÃ;0.2704903715109621;0.2943848446177456;0.24961790170497267;0.20068921289502392;0.23556533693381387;0.23552106144120744;0.2880761853330942;0.25956674710962324;0.19445921129425114;0.22094833430128225
JACAREZINHO;0.2932078196821351;0.4112256574206044;0.3480748945132547;0.3415758938550602;0.27527346222529847;0.33094413845461473;0.4877842796462375;0.38476749286987916;0.3804876953065563;0.30081950666210794
JAGUARIAÍVA;0.2961039580218324;0.24193848717495264;0.2795436279571346;0.2669346056230955;0.28004215558374657;0.2468808870729823;0.24151900897508857;0.2182386057136375;0.24032648968012837;0.22770173153891893
LONDRINA - CENTRO;0.3138899425371162;0.6169345980344824;0.41812325146813517;0.39628830833255413;0.3274397557968718;0.27115672773068544;0.6581756994513631;0.3828281779767095;0.38897660983389293;0.2977448703088066
PALMAS;0.18146194454231582;0.14249876355967395;0.21275512870247862;0.20305602230507308;0.17947000002870026;0.1114008928988236;0.11939348329695994;0.1570003671338467;0.1376251513533421;0.11517768180588868
PARANAGUÁ;0.25882052520344473;0.3213361300037029;0.2851831675332227;0.23251996120900473;0.2311687793732322;0.20387168850049006;0.31875571518667134;0.25024269884080624;0.21474468358045187;0.1841274283768479
PARANAVAÍ;0.37534699130918214;0.4362998883984645;0.45775486645286045;0.4695612521794585;0.34671062323021556;0.36615259912569575;0.5452005698082708;0.5349622806054022;0.5360404687793054;0.35168584990495333
PINHAIS;0.19287442332459118;0.3247534071770063;0.2616121642799708;0.2585255565792806;0.1872068171004239;0.18068127642198473;0.31197933000479927;0.2521979414764794;0.2480480403849267;0.17580794725453197
PITANGA;0.23620844422134474;0.2375557486518257;0.24196740776412837;0.2187720517125329;0.2195144599031839;0.229747044966275;0.24322637711323455;0.2470011912995461;0.23071569391396882;0.2108467886056572
QUEDAS DO IGUAÇU;0.23928659729694501;0.26021071863815237;0.2641842413306072;0.25856532126993453;0.233825184272972;0.19644813947454928;0.24423117071589703;0.23421742847772598;0.24256922953852658;0.19639335220497953
TELÊMACO BORBA;0.2798975173863146;0.26612650556632717;0.26020439151039315;0.26199186755192144;0.25943803394837606;0.2639770095394906;0.2949571827070084;0.2499937167301145;0.25912639004708615;0.2479330651260361
UMUARAMA;0.4519454310530066;0.5394677308265952;0.47453978246928635;0.408707976455447;0.4219897926635864;0.4239480452846524;0.7075467027133392;0.6008077731327474;0.43958325377913404;0.422787319139911
UNIÃO DA VITÓRIA;0.3143415873159506;0.2982085429277112;0.33587935261193647;0.3121233351725998;0.30433763892663945;0.22624703399984333;0.27293508256550864;0.2553123893170558;0.27170188358990766;0.20352871949006013
MÉDIAS;0.29557803708998304;0.37103239582871805;0.32624429438019104;0.30702056708975783;0.279340326992823;0.2723436060679372;0.4110301624306416;0.33930732426562743;0.3150058898318626;0.2639544523060483
MELHOR;2;4;1;5;12;6;0;2;4;12
PIOR;3;11;7;3;0;2;17;4;1;0
SCORE (MELHOR - PIOR);-1;-7;-6;2;12;4;-17;-2;3;12
