;ESN MAPE;ESN RRMSE;MLP MAPE;MLP RRMSE;RF MAPE;RF RRMSE;WSB-GLOBAL MAPE;WSB-GLOBAL RRMSE;XGBoost MAPE;XGBoost RRMSE
ASSIS CHATEAUBRIAND;0.369;0.383;0.697;0.507;0.496;0.385;0.369;0.383;0.438;0.343
ASTORGA;0.212;0.246;0.233;0.247;0.181;0.211;0.17;0.197;0.152;0.195
BARRACÃO;0.129;0.174;0.121;0.139;0.185;0.21;0.128;0.154;0.169;0.192
CAMPO LARGO;0.296;0.268;0.491;0.405;0.333;0.294;0.333;0.292;0.343;0.317
CAPANEMA;0.352;0.353;0.676;0.539;0.461;0.41;0.352;0.353;0.497;0.43
CASCAVEL;0.245;0.261;0.371;0.333;0.297;0.261;0.281;0.26;0.295;0.275
CORONEL VIVIDA;0.247;0.279;0.391;0.336;0.26;0.299;0.247;0.267;0.239;0.269
CURITIBA;0.227;0.259;0.413;0.395;0.305;0.299;0.234;0.263;0.25;0.32
FOZ DO IGUAÇU;0.415;0.404;0.805;0.691;0.423;0.44;0.404;0.41;0.36;0.409
GOIOERÊ;0.25;0.267;0.424;0.357;0.308;0.285;0.26;0.269;0.278;0.27
IRATI;0.213;0.257;0.262;0.246;0.204;0.23;0.19;0.234;0.195;0.244
IVAIPORÃ;0.191;0.254;0.3;0.301;0.193;0.206;0.182;0.233;0.142;0.162
JACAREZINHO;0.303;0.296;0.419;0.354;0.328;0.305;0.314;0.292;0.317;0.302
JAGUARIAÍVA;0.191;0.246;0.198;0.21;0.175;0.234;0.163;0.205;0.171;0.196
LONDRINA - CENTRO;0.17;0.207;0.388;0.359;0.274;0.269;0.178;0.205;0.231;0.273
PALMAS;0.206;0.235;0.36;0.345;0.235;0.275;0.228;0.252;0.244;0.262
PARANAGUÁ;0.168;0.21;0.215;0.23;0.179;0.201;0.168;0.209;0.167;0.173
PARANAVAÍ;0.382;0.366;0.623;0.497;0.419;0.375;0.382;0.366;0.473;0.424
PINHAIS;0.166;0.185;0.304;0.317;0.197;0.209;0.188;0.197;0.199;0.22
PITANGA;0.182;0.221;0.225;0.231;0.199;0.216;0.163;0.189;0.156;0.188
QUEDAS DO IGUAÇU;0.201;0.245;0.302;0.313;0.194;0.246;0.199;0.235;0.169;0.211
TELÊMACO BORBA;0.202;0.238;0.27;0.252;0.203;0.215;0.19;0.208;0.199;0.211
UMUARAMA;0.296;0.312;0.489;0.358;0.364;0.311;0.308;0.291;0.324;0.299
UNIÃO DA VITÓRIA;0.187;0.259;0.209;0.235;0.214;0.273;0.174;0.24;0.199;0.244
MÉDIAS;0.2416666666666667;0.2677083333333333;0.38275;0.34154166666666663;0.276125;0.2774583333333333;0.24187499999999998;0.2585;0.25862499999999994;0.26787500000000003
MELHOR;12;8;1;2;0;1;7;8;7;7
PIOR;0;2;22;20;2;2;0;0;0;0
SCORE (MELHOR - PIOR);12;6;-21;-18;-2;-1;7;8;7;7
