DATA;ESN;MLP;RF;XGBoost;WSB-LOCAL;WSB-GLOBAL
2023-11-30;5456.715572545689;6261.244529748598;5598.355044955045;6084.076;6084.076173394918;6084.076173394918
2023-12-31;3711.3215539052935;6253.502453394563;5554.663469863469;5030.6685;5074.334983419422;5074.334983419422
2024-01-31;268.0917028574767;4282.870459430248;4449.633138528138;3575.8953;3707.6215202298017;3707.6215202298017
2024-02-29;3104.851891060866;4837.341976286303;4117.080187035187;3928.6687;3975.771451122459;3975.771451122459
2024-03-31;6548.211228621357;4978.479262398237;5540.932978132978;5212.1255;5321.728132698144;5321.728132698144
2024-04-30;4554.528130821181;5001.172013252343;5459.173397713397;6149.3896;5670.965845296518;5670.965845296518
2024-05-31;743.3355139938348;5792.200116307855;5037.163088607299;5014.7446;5214.713074644116;5214.713074644116
2024-06-30;865.3486811198777;4080.329769124535;3584.2297212047215;3450.4233;3673.172890224126;3673.172890224126
2024-07-31;3964.660240667202;3791.8142478542345;4006.8569569611673;3941.4138;3970.976946415024;3970.976946415024
2024-08-31;5882.291506065922;4947.483518329064;5357.212343212343;5186.4956;5314.533217546624;5314.533217546624
2024-09-30;3270.0396130585623;5235.6463889005545;5311.900222000222;5303.728;5278.765756367402;5278.765756367402
2024-10-31;4911.327068116426;6056.137465019265;5300.553555333555;4874.946;5265.086251607235;5265.086251607235
