DATA;ESN;MLP;RF;XGBoost;WSB
2023-11-30;6977.666627795342;7422.697249464678;5965.1530307383255;5730.0874;5730.087405323982
2023-12-31;9107.73807606975;9210.657914897523;5820.809648009943;7232.5996;7340.607996647445
2024-01-31;3088.796405084473;5460.070892240332;5826.236775142069;4977.236;5051.900954120748
2024-02-29;6046.1600437559455;8511.87446001353;6225.328372248668;5952.352;5983.195862182358
2024-03-31;6290.109968320894;8496.56114997903;8112.677034909535;8227.568;8244.846873290153
2024-04-30;3632.312518786783;7795.2613462938125;8096.737140729641;7553.8955;7663.805493796536
2024-05-31;4228.4705983595295;6867.3386281080675;5763.990789183584;5235.917;5369.138380967649
2024-06-30;1631.9539598063443;5702.247433233506;5402.794105681901;4076.3528;4655.649055547872
2024-07-31;-92.39103496472805;2502.3648371038394;4777.622172337466;5372.6;4207.004256499117
2024-08-31;1880.073228323873;6252.952361756139;5446.439077197313;5512.908;5682.836495592661
2024-09-30;1339.6460974041556;7755.532706601104;5546.903357818653;5420.913;5473.887321384162
2024-10-31;6942.247064318354;7693.424905073842;6518.926327098828;8044.489;7372.320993113681
