DATA;ESN;MLP;RF;XGBoost;WSB
2023-11-30;14534.25697956545;14122.792874237384;11945.673321493323;10963.638;10963.637933716178
2023-12-31;10050.50198329593;14306.101207418187;9686.34008889259;11845.301;11737.028732483474
2024-01-31;7078.023092848656;7349.180312243796;11571.831856291856;7989.1055;7904.1580096658545
2024-02-29;12653.055733633655;11549.128996460631;11068.673199393199;10880.265;10950.693445036435
2024-03-31;14684.458286352246;14165.067532931087;11971.110770618272;14647.967;14599.068062486795
2024-04-30;14193.927881283567;12969.03784127785;11616.27802123802;11721.727;11878.074562053946
2024-05-31;13092.645041358985;14298.967728501559;11913.163284863285;11205.949;11845.25061629742
2024-06-30;10702.356748460077;12043.139710672223;9305.760894568395;9504.144;9695.804417264486
2024-07-31;12261.832180418814;9418.44142090415;10951.135671550672;11691.867;11448.450496270858
2024-08-31;14085.96417852695;12128.716653761216;11175.296758241757;12609.692;12431.878746215521
2024-09-30;13530.005682857858;13769.783409001519;11820.44244042994;12217.335;12756.542105044313
2024-10-31;12922.694628829888;13824.413278666185;11212.699343216696;10851.913;11950.611619485775
