DATA;ESN;MLP;RF;XGBoost;WSB
2023-11-30;2480.539772857955;2711.9642791315664;2304.537242465137;2218.7964;2218.796436935663
2023-12-31;2452.9470689428586;2873.5661024501187;2165.295663040663;2315.7034;2321.372930804273
2024-01-31;1160.6060307701346;1691.6766592704232;2068.909829877725;1929.897;1910.2152508732045
2024-02-29;2613.490389824514;2522.710999679571;2208.8249669628617;2262.2395;2294.519637252661
2024-03-31;2499.900767232738;2884.159730025624;2822.510965700966;2949.5828;2928.377645252028
2024-04-30;2339.5684486559867;2833.41441229083;2685.2254101454105;2502.5884;2540.3120953176854
2024-05-31;2607.168988576797;3146.433074415402;2333.232636866058;2198.5464;2333.2107821590366
2024-06-30;2064.5333227616065;2558.2976586565806;2224.498223813224;1960.5133;2066.929179221608
2024-07-31;2118.2657726883267;2047.6881818650613;2203.615902878798;2480.4436;2269.265221498643
2024-08-31;2209.011605890224;2721.0153415101013;2771.4581879231882;2436.3997;2542.21679699364
2024-09-30;1808.8293976374569;2748.6077402621613;2681.7278175528177;2806.9001;2756.3740884618574
2024-10-31;2916.5895972455887;2809.4624085350156;2859.7688701843963;3077.4656;2905.4385031916677
